fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.8038371147358218,1,3.643057128264106,1,0.09584027091119658,1,591.0780734755555,1,0.12948479474990116,1,0.9401618304201903,1,7.572350321184761,1,0.9989839463523674,1
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.7221672647991981,1,2.0781828206920556,1,0.07413913344056268,1,111.77665169731111,1,0.36092640432550516,1,0.8787280025677451,1,-2.275776110321395,1,0.9959357854094696,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6401804732736507,1,1.6628263672289871,1,0.10876321757990959,1,52.53365508719608,1,0.02163816377181238,1,0.830870361223959,1,-4.622370345566605,1,0.9902458849827271,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,2.1185925765273197,4.4633600878687005,1.4633464844662087,8.885696373339394,8.885696373339394,0.5033588219253996,0.7832203494744961,1,2.975880405567346,1,0.017497128574744815,0,422.0031381292813,1,0.11071055207628633,1,0.9256243158982009,1,5.1714141602611114,1,0.9902458849827271,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,0.4072081111227632,0.4072081111227632,0.4316169365496553,2.0156423015938905,3.1947174628936,0.07937010983383186,0.5808550220334039,1,2.0785716795876574,1,0.22406340881654888,1,59.82528665659416,1,0.04848048396377336,1,0.799420835734881,1,-7.403628844033192,0,0.9851656167445642,1
29,0.6931471805599453,1.0986122886681098,2.9114807211064,35.47233568,33.8972848599999,5.190530959582707,-1.5553900411763233,0.49032685350199623,0.49032685350199623,0.5609215596202645,2.6501439599188363,4.200378797984026,0.09446564471342948,0.5784658589253487,0,1.8929486914763825,1,0.11350931892229704,1,43.715506522187326,0,-0.03381619774881073,0,0.768573045471491,1,-6.904249858500274,1,0.9715504978662874,1
53,0.6931471805599453,0.6931471805599453,3.54214702423921,35.4875081799999,33.89984254,5.136134634482512,-0.0156274398299077,1.1003681124343223,1.1003681124343223,0.689652292301348,5.110237945969508,5.110237945969508,0.21424051173557082,0.6147099921577328,1,1.2147092086631377,0,0.04055934585906772,1,74.2331172527294,1,0.0001499055782701042,1,0.794006699780602,1,-6.055045666472728,1,0.9711440764072342,1
1548,1.9459101490553128,1.9459101490553128,5.34461872191488,35.47386565,33.89894617,6.399216420106812,1.300626634375449,0.8473436922234878,0.8473436922234878,0.8351989323445435,2.746590701790393,2.746590701790393,0.13241366389189013,0.5390350638473945,0,1.3513582575990493,0,0.023267062510472558,0,36.49786234915964,0,-0.00020303868033155759,0,0.6984456389306705,0,-9.836731709614012,0,0.9357854094696201,1
72,1.0986122886681098,1.0986122886681098,1.956850089093648,35.4839076399999,33.90154966,4.1066311958181485,-0.8150443270305894,-0.0709300347103563,0.0709300347103563,0.47650981931037323,1.78120171172126,1.78120171172126,-0.017272073222106128,0.5277663437797665,0,1.6859848582453327,1,0.10653448920230434,1,30.54079983129275,0,-0.05814985927318528,0,0.688160963703309,0,-9.223472266318844,0,0.9333468807153018,1
57,1.0986122886681098,1.0986122886681098,1.2570395252626283,35.4876029699999,33.8999877099999,4.826091399602125,-1.1924218391670918,-1.1267990786536104,1.1267990786536104,0.26046740958247533,1.1442066853144215,1.1442066853144215,-0.23348067522022203,0.5362472148641925,0,1.5870338700098396,1,0.06572233974976228,1,27.230964101687615,0,5.327021765033635e-05,0,0.6731794731320718,0,-9.830923889295502,0,0.9323308270676692,1
