fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.034824342843683,4.926950383631272,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32988360796928234,0.7294087916932506,1,1.9637624582092479,1,294.559329858336,1,0.5884484094298785,1,5.901797246847252,1,0.9955681818181817,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.302366304315946,4.008445926610623,1.1920739609994475,9.843921051289035,9.843921051289035,0.5769455963687352,0.7411565522386202,1,2.516834251401126,1,840.3024158308335,1,0.00010714558728874835,1,12.995219014290118,1,0.9953409090909091,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.302366304315946,4.700186616224821,1.3973382018991465,9.949826710759112,9.949826710759112,0.6690919405441346,0.7468481630874461,1,2.508825296884357,1,989.3739165358004,1,3.3339823489519915e-05,0,13.405855888573907,1,0.9951136363636361,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,3.302366304315946,3.9053957098453127,1.5461992827517541,3.873657180281966,3.873657180281966,0.8190214979024365,0.6986577749863317,1,2.048265233956982,1,395.13128448853377,1,0.03448997006910437,1,-0.5634105730453243,1,0.994772727272727,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.302366304315946,3.3917388584930483,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6967213563789793,0.6995117195825862,1,1.86899560434614,1,307.8876855079451,1,0.17041901937725945,1,0.4259523448046405,1,0.9945454545454545,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.302366304315946,4.687428081492829,1.433151154474292,9.90388184573618,9.90388184573618,0.68942389323108,0.7585583428175393,1,2.4433698681635674,1,990.8816948616142,1,-0.00011296815448025299,0,16.51159206789313,1,0.9939772727272727,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.302366304315946,3.30995586711294,1.1328145166338148,6.442943495848729,6.442943495848729,0.8376725157297871,0.6788532656890531,1,1.629528821287058,1,415.6566992285258,1,0.09819621797939271,1,-0.14394614141881412,1,0.992840909090909,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.302366304315946,4.470644949516924,1.4633464844662087,8.885696373339394,8.885696373339394,0.7846129694418736,0.7443818723746278,1,2.045380216438076,1,843.4825224319262,1,-0.00015257776011146085,0,10.592231776800311,1,0.9920454545454545,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.302366304315946,4.954400116953394,1.625279018247219,6.270248868157708,9.93810932621924,0.7791551437509254,0.715427596067614,1,1.8499236523044835,1,779.5234504949572,1,-0.00017713071471159303,0,4.384790475834677,1,0.9898863636363636,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.302366304315946,4.20750081194961,1.393165100563557,8.581200581924957,8.581200581924957,0.7734893108091465,0.7363605116776395,1,1.9472929743525196,1,747.398579013316,1,-0.00028651388646872,0,8.619821234337145,1,0.9897727272727271,1
1729,0.6931471805599453,0.6931471805599453,4.859789148277298,35.5165647299999,33.89609087,5.446970821768159,-0.0156274398299077,2.2463287155410745,2.2463287155410745,0.8922003269883033,7.011193703985658,7.011193703985658,0.412399623395061,0.6576506876969559,1,1.5160372371934807,0,303.2680388047313,1,0.04363892507486988,1,0.999391468909236,1,0.9897727272727271,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.302366304315946,4.888160737682699,1.663933770214046,6.273028226734327,6.273028226734327,0.7973327190784677,0.6953289195287904,1,1.7110431857461754,1,688.5320715902278,1,-0.00011689027199013324,0,0.5938304923652584,1,0.989090909090909,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,35.52780327,33.8862673599999,5.0400698160457456,2.2605583165504184,2.8357880367808033,2.8357880367808033,1.3176766219780305,3.022532261036308,3.022532261036308,0.5626485624767911,0.6592678370221379,1,2.031033191956275,1,215.29640344774742,1,0.0003038834887330033,1,-4.121061094004542,1,0.9886363636363636,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,3.302366304315946,3.302366304315946,1.2668268875428923,4.892789260714372,4.892789260714372,0.7782901850893125,0.649637429492236,1,1.7295715070222712,1,329.5333418337808,1,0.00018895436919597053,1,-4.1095718720960015,1,0.9875,1
