fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7122185228193118,1,2.1575042647295146,1,1113.9638047625886,1,2.73807952862213,1,0.8697613055473411,1,0.9986363636363637,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.7015251231346589,1,2.4357721082964976,1,991.9744936607378,1,1.8380609761936961,1,0.8979763144589004,1,0.9985227272727272,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025244,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.6747350354980631,1,2.4822385618412945,1,1165.1353808162787,1,1.3223671128663441,1,0.8992077240267337,1,0.9984090909090908,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.6544230866665843,1,2.4966945451626343,1,1152.4399022663777,1,1.6094165164339596,1,0.8996672594903208,1,0.9982954545454545,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155145,4.465139959549508,1.4633464844662087,8.885696373339394,8.885696373339394,0.7818456368363298,0.6419867758713355,1,2.184813597326362,1,1001.5381380963012,1,1.108209026558297,1,0.8781491812206588,1,0.9964772727272727,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.6650004466087293,1,1.7981682841241733,1,867.9175699990552,1,0.996671272905219,1,0.8424280821144136,1,0.9954545454545454,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.6173720989922431,1,2.067893898707469,1,903.885579185237,1,1.1493143206303982,1,0.8642629887158245,1,0.9949999999999999,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155145,3.375431799728008,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.6820522889750248,1,1.6544339841074036,1,465.2615410737842,1,1.5053284584249909,1,0.8042444874896651,1,0.9943181818181817,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.5998352863802124,1,2.503212944886089,1,323.21037969015316,1,2.8212302233781408,1,0.8201842221251506,1,0.9939772727272727,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,3.290718847155145,3.8769603129053696,1.5461992827517541,3.873657180281966,3.873657180281966,0.8161328063002584,0.6634973367164565,1,1.8335238756960788,1,522.6647526993165,1,0.6687037626161465,1,0.8045767186795395,1,0.99375,1
