fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281363,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482664,0.7354065608855959,1,2.01987396574608,1,0.09499723526262759,1,310.41004279560127,1,0.8592671907372509,1,5.982295764482618,1,0.9955492424242425,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.942311872843169,-1.9043027771337224,3.290718847155146,3.290718847155146,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244461,0.6777653981937025,1,1.627874217747171,1,0.014324810637506673,1,429.4076256841153,1,0.8645833029270386,1,0.024798881904338543,1,0.9934659090909091,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155146,4.896384912745443,1.663933770214046,6.273028226734327,6.273028226734327,0.7945205238727956,0.6791203745532339,1,1.7222651723193696,1,0.006263202191199425,1,719.9355572847642,1,0.8624275749786131,1,1.189532910048456,1,0.9923295454545453,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155146,4.699736735949524,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994953,0.7479993692510148,1,2.517786970085223,1,0.004020973613010877,0,1035.6547609469135,1,0.9241752917692676,1,13.495047182818151,1,0.9918560606060605,1
30,1.0986122886681098,1.0986122886681098,5.036296543097928,33.89229959,35.53154628,3.980881148967695,-0.0156274398299077,3.0615708083505697,3.0615708083505697,1.265121051002469,4.584234670452872,4.584234670452872,0.7690686292265929,0.6400073436397239,1,1.866058046147733,1,0.0067632110663229566,1,315.15722256517506,1,0.8378017663556866,1,-2.1764090315856723,1,0.9894886363636362,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,33.8892338,35.5291301899999,4.243104137227407,-1.1924218391670918,3.290718847155146,3.3098929129257,1.2668268875428923,4.892789260714372,4.892789260714372,0.7755451529656345,0.6340399263822164,1,1.7623292275561013,1,0.009517169179911716,1,342.54882064568847,1,0.8147532670582089,1,-4.0648666875490065,1,0.9885416666666665,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155146,3.3987296401191323,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6942640177909393,0.6735554532960343,1,1.8434169365992126,1,0.004201179894677142,0,312.7648504949417,1,0.8512777344928778,1,0.657487270527696,1,0.9875946969696968,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155146,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853449,0.7338715957951232,1,1.9579302249650425,1,0.003327298552991899,0,783.3537357001173,1,0.8795735219253673,1,9.010547022359773,1,0.9870265151515151,1
272,1.6094379124341005,1.3862943611198906,6.678342114654332,33.8867163099999,35.51788674,4.823764024172099,0.4071381378692232,3.290718847155146,3.7406047515997134,1.3844670015342497,4.817405525085859,4.149487260775449,0.6821890189207445,0.6180375339063117,0,1.624540107844998,1,0.008238690764399004,1,400.80626746798197,1,0.8217809268740974,1,-3.6684025555828104,1,0.9866477272727273,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6761882986488588,1,1.3956770735530906,0,0.013313547852584177,1,235.05358926518713,1,0.7868563566123273,1,1.5481966365448034,1,0.9853219696969697,1
