fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.0376193955333073,4.894955478240147,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.3303367390068386,0.7098990772053108,1,2.0254831403669815,1,0.08532885957845084,1,304.20094788837525,1,6.011681341675075,1,0.996590909090909,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.3025925193207013,4.701007369116455,1.3973382018991465,9.949826710759112,9.949826710759112,0.669137773932246,0.732669260973355,1,2.108375917146467,1,0.0037464004987542037,0,1019.0834772502575,1,13.531590986463886,1,0.9889772727272726,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.3025925193207013,3.343023063858977,1.1328145166338148,6.442943495848729,6.442943495848729,0.8377298970359982,0.6383176139716372,1,1.33891171391148,0,0.012585187678072311,1,426.44434845507516,1,0.12681104665892562,1,0.9861363636363635,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.3025925193207013,3.3847066944236794,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6967690824064464,0.6643600841013559,1,1.4555689955537376,1,0.004380540078812702,0,301.37129149332065,1,0.4006982084049646,1,0.9860227272727272,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.9459242767629048,1.9459242767629048,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3624509425716219,0.6722259396667932,1,1.3323904920096434,0,0.014506080001510845,1,229.42253713120374,1,1.5642227010023397,1,0.9857954545454545,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.53913024438202,1.53913024438202,0.876176017356294,7.088046166153979,2.3626820553846595,0.27448254712514103,0.5855611842099612,0,1.41481944587237,0,0.02129134013460071,1,184.73628977612637,1,-2.9710003186224956,1,0.9835227272727272,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.0376193955333073,3.674144348891806,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3448065654074122,0.6574816899055116,1,1.332813091128314,0,0.01622760929396166,1,160.0840340298916,1,-3.327264037848362,1,0.983181818181818,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.2676860303901591,1.2676860303901591,0.5843854734643307,4.570402210259985,4.570402210259985,0.23384669385649862,0.5976591172869368,0,1.8288401375066887,1,0.02533396537343384,1,66.8482373084946,0,-2.1654781875002964,1,0.982840909090909,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.3025925193207013,4.236412236067586,1.393165100563557,8.581200581924957,8.581200581924957,0.7735422955092066,0.7218914251086962,1,1.6067572691749905,1,0.003169846336564667,0,772.800882052426,1,8.851489599064397,1,0.982840909090909,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.3025925193207013,4.886957477235058,1.663933770214046,6.273028226734327,6.273028226734327,0.7973873370730259,0.6384654983516798,1,1.4097518361013694,0,0.0037538233905557803,0,699.0927599257702,1,0.9170871433351291,1,0.9818181818181818,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,3.3025925193207013,3.3025925193207013,1.2668268875428923,4.892789260714372,4.892789260714372,0.7783434986534955,0.5939099506758393,0,1.3462257869623884,0,0.010563630497388298,1,332.166659545534,1,-4.092092696744466,1,0.9802272727272727,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,-0.02686708140337135,0.02686708140337135,0.4316169365496553,2.0156423015938905,3.1947174628936,-0.005236740486382911,0.5891651883239118,0,1.9698288101462105,1,0.02077142661445836,1,55.78329684912618,0,-2.164477707629686,1,0.979431818181818,1
30,1.0986122886681098,1.0986122886681098,5.036296543097928,35.53154628,33.89229959,3.980881148967695,-0.0156274398299077,3.0345799816544172,3.0345799816544172,1.265121051002469,4.584234670452872,4.584234670452872,0.7622885155567458,0.604531818189177,0,1.294092040080869,0,0.006882341324903284,1,302.8941267511476,1,-2.2633050111376285,1,0.9777272727272728,1
364,0.6931471805599453,0.6931471805599453,4.635126967277885,35.5259145899999,33.8943381599999,5.364744859928628,-0.8150443270305894,2.0896937562576117,2.0896937562576117,0.8639976528799079,6.687074689582506,6.687074689582506,0.38952341832066417,0.6595382553870092,1,1.4127462842495955,0,0.0032335506503294777,0,262.7309564611037,1,-1.0444181004201614,1,0.9776136363636363,1
272,1.6094379124341005,1.3862943611198906,6.678342114654332,35.51788674,33.8867163099999,4.823764024172099,0.4071381378692232,3.3025925193207013,3.762799277687213,1.3844670015342497,4.817405525085859,4.149487260775449,0.6846505141568413,0.5979808350061466,0,1.3054230032538405,0,0.006320499398525049,1,393.38457700605574,1,-3.575711431381041,1,0.9770454545454544,1
1367,1.0986122886681098,1.6094379124341005,4.535980866635092,35.5342097799999,33.8975098499999,4.082153587157697,-0.0156274398299077,2.2606352955678584,2.2606352955678584,1.1111734945263008,2.818363374934366,4.128827716040058,0.5537849684734384,0.5969390288875702,0,1.788729436661443,1,0.005882168678088672,0,139.55193999031312,0,-6.104979666823389,0,0.9754545454545454,1
1537,1.6094379124341005,1.6094379124341005,6.624564439162538,35.4744579799999,33.89929439,6.521400854570621,1.300626634375449,1.9984234853793499,1.9984234853793499,1.0158192368315486,4.116073312292986,4.116073312292986,0.3064408291937345,0.5669808916322099,0,1.442735755772119,1,0.004561708775957358,0,150.60443816990954,1,-5.305455252597964,0,0.9704545454545455,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.3025925193207013,3.376024797255179,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6409713779564942,0.5888505326100345,0,1.2571803884252248,0,0.012977700906507458,1,257.1654443175196,1,-5.255742058960342,0,0.9684090909090909,1
91,2.70805020110221,3.4339872044851463,2.305779983890565,35.48223799,33.8988567199999,5.757741173117037,1.77209775307598,-2.0376193955333073,2.7526700216809097,0.40046607073209184,0.67145852520329,0.8514539290859836,-0.35389214872092145,0.6569961102683893,1,1.306426096168869,0,0.0037438245610762586,0,121.21344136833025,0,-4.3148894659692285,0,0.9682954545454546,1
1729,0.6931471805599453,0.6931471805599453,4.859789148277298,35.5165647299999,33.89609087,5.446970821768159,-0.0156274398299077,2.2366774764460637,2.2366774764460637,0.8922003269883033,7.011193703985658,7.011193703985658,0.4106277690174974,0.6557667371935697,1,1.6147135626852656,1,0.002027544353651639,0,312.9180471122662,1,0.8245237059837827,1,0.9652272727272727,1
29,0.6931471805599453,1.0986122886681098,2.9114807211064,35.47233568,33.8972848599999,5.190530959582707,-1.5553900411763233,0.4062535831833074,0.4062535831833074,0.5609215596202645,2.6501439599188363,4.200378797984026,0.078268213087774,0.5793450911912655,0,1.5389422599677094,1,0.004741725945673995,0,40.23488878049627,0,-4.10593329339954,1,0.9639772727272728,1
895,1.0986122886681098,1.3862943611198906,6.648984550024776,35.53073967,33.8908452299999,5.214059831809923,-1.1924218391670918,3.3025925193207013,3.798369223277147,1.2752029636216808,4.796228518634041,6.052166554668342,0.6334013467149443,0.5821236721091301,0,1.3651544160716411,0,0.002714390830910046,0,373.3727420303085,1,-3.902996845737249,1,0.9627272727272727,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.3025925193207013,4.9804637753591,1.625279018247219,6.270248868157708,9.93810932621924,0.7792085165655398,0.6880403698236843,1,1.4270529743546594,1,0.0018657165465590085,0,804.1606097340268,1,4.550211564583709,1,0.9619318181818179,1
1241,0.6931471805599453,0.6931471805599453,3.56953269648137,35.52937227,33.8881709899999,4.2566007634402405,-1.1924218391670918,1.8285666508707767,1.8285666508707767,0.8385876183502883,5.149747119504682,5.149747119504682,0.4295837811655386,0.573939780711451,0,1.2723822152079536,0,0.004165459094148434,0,147.39299754428092,1,-4.920663726798955,0,0.9611363636363637,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,3.3025925193207013,3.9246969416383646,1.5461992827517541,3.873657180281966,3.873657180281966,0.819077601597475,0.6573437149412298,1,1.3382863413540698,0,0.0021533276460342565,0,397.657627468595,1,-0.9255759245231072,1,0.9604545454545453,1
