fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.034824342843683,4.926950383631272,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32988360796928234,0.70809333297905,1,2.015119835902809,1,0.052701815650241665,1,305.11526920969413,1,13.386660729575786,1,5.901797246847252,1,0.9964962121212121,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.302366304315946,4.700186616224821,1.3973382018991465,9.949826710759112,9.949826710759112,0.6690919405441346,0.7370643982109762,1,2.0914380766148373,1,0.0036348836824764237,1,1020.5975473351386,1,14.172046098326788,1,13.405855888573907,1,0.9938446969696968,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.302366304315946,4.20750081194961,1.393165100563557,8.581200581924957,8.581200581924957,0.7734893108091465,0.7206456015234671,1,1.5847795392772233,1,0.004107361688799113,1,769.036955583806,1,13.464797186311277,1,8.619821234337145,1,0.9916666666666667,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.302366304315946,4.687428081492829,1.433151154474292,9.90388184573618,9.90388184573618,0.68942389323108,0.7394138361486943,1,2.0472816746499327,1,0.0026899678148611574,1,1024.6147106164542,1,14.029078426658028,1,16.51159206789313,1,0.9899621212121211,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.302366304315946,3.30995586711294,1.1328145166338148,6.442943495848729,6.442943495848729,0.8376725157297871,0.6518953323447066,1,1.3402516382209098,1,0.010942309882585637,1,423.2766271225675,1,12.624297246400156,1,-0.14394614141881412,1,0.9881628787878789,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.302366304315946,4.954400116953394,1.625279018247219,6.270248868157708,9.93810932621924,0.7791551437509254,0.6826861739659237,1,1.4232191554117608,1,0.0029760878404446003,1,795.8857073225795,1,13.583570495532465,1,4.384790475834677,1,0.9862689393939394,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.930485215261121,1.930485215261121,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.35957523848561723,0.6703460523911287,1,1.333087464267991,1,0.009639524059761952,1,229.28675660748064,1,7.6713276858776425,1,1.4016789948311548,1,0.9857007575757576,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.3397970167620419,1.3397970167620419,0.5843854734643307,4.570402210259985,4.570402210259985,0.2471488170554155,0.6021087997352509,1,1.7624774653499045,1,0.013764248248564207,1,68.42780969502635,1,10.31064881517425,1,-2.2129384131137098,1,0.984659090909091,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,3.302366304315946,3.302366304315946,1.2668268875428923,4.892789260714372,4.892789260714372,0.7782901850893125,0.6066689113933286,1,1.3408093323550734,1,0.010699148786222948,1,332.93619966763475,1,9.33096709380322,1,-4.1095718720960015,1,0.9832386363636362,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.302366304315946,3.3917388584930483,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6967213563789793,0.6732148644812161,1,1.5388312125431327,1,0.0025476435384566842,1,303.26662024721713,1,11.652045784735215,1,0.4259523448046405,1,0.9825757575757575,1
