fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.7874416913072014,1,3.643057128264106,1,523.7870026245599,1,7.572350321184761,1,1.0,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,2.1185925765273197,4.4633600878687005,1.4633464844662087,8.885696373339394,8.885696373339394,0.5033588219253996,0.7674929002982425,1,2.975880405567346,1,372.70403745265014,1,5.1714141602611114,1,0.9985775248933144,1
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.7253827874811927,1,2.0781828206920556,1,111.60471742070297,1,-2.275776110321395,1,0.9957325746799431,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6446304731562509,1,1.6628263672289871,1,49.42074293151239,1,-4.622370345566605,1,0.9875533428165008,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,2.1185925765273197,3.9157917378587923,1.5461992827517541,3.873657180281966,3.873657180281966,0.5254331911044049,0.6205906939048094,1,1.4171051365239806,1,67.02252603602484,1,-6.759219842716007,1,0.982574679943101,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,0.4072081111227632,0.4072081111227632,0.4316169365496553,2.0156423015938905,3.1947174628936,0.07937010983383186,0.6042135234414928,1,2.0785716795876574,1,59.27445233275125,1,-7.403628844033192,1,0.9804409672830726,1
29,0.6931471805599453,1.0986122886681098,2.9114807211064,35.47233568,33.8972848599999,5.190530959582707,-1.5553900411763233,0.49032685350199623,0.49032685350199623,0.5609215596202645,2.6501439599188363,4.200378797984026,0.09446564471342948,0.5849890949153704,1,1.8929486914763825,1,42.669313994444046,1,-6.904249858500274,1,0.9775960170697013,1
1002,1.0986122886681098,0.6931471805599453,4.820386398819521,35.5139740899999,33.8947290899999,6.07251836443936,-1.1924218391670918,1.9835180793974398,1.9835180793974398,0.7938035110849037,6.954347552745531,4.387704787704005,0.3266384653544916,0.6376897410164488,1,1.2570897839292414,0,108.57515071133412,1,-4.426193053970238,1,0.9761735419630158,1
1750,1.0986122886681098,0.6931471805599453,4.959426206689514,35.5086712,33.88883598,5.715133645007413,-1.1924218391670918,2.1185925765273197,2.1908751641109925,0.8677708195016465,7.154939594045725,4.514264274889933,0.3706986937003766,0.6586266523668689,1,1.2381830771124573,0,118.86127532048816,1,-2.001030329796123,1,0.9751066856330015,1
1049,2.302585092994046,3.091042453358316,2.0409605548615546,35.50895209,33.8812960699999,5.421599851726236,1.77209775307598,-1.9423846596717498,2.5547339269678395,0.37644986916762463,0.6602822787646019,0.8863779067585722,-0.35826780153339705,0.636651311920391,1,1.3095725467890533,0,37.1040210573137,1,-6.188719801112229,1,0.9719061166429588,1
1435,0.6931471805599453,0.6931471805599453,0.7385984434638627,35.52861046,33.8949979499999,5.0252772518119695,1.77209775307598,-1.9423846596717498,1.9423846596717498,0.14697665550642913,1.0655723115936222,1.0655723115936222,-0.3865228846769364,0.6152368053768636,1,1.5877623154470117,1,28.285489513682467,0,-6.724087467339794,1,0.9655049786628734,1
53,0.6931471805599453,0.6931471805599453,3.54214702423921,35.4875081799999,33.89984254,5.136134634482512,-0.0156274398299077,1.1003681124343223,1.1003681124343223,0.689652292301348,5.110237945969508,5.110237945969508,0.21424051173557082,0.6094005459109848,1,1.2147092086631377,0,67.55406276997843,1,-6.055045666472728,1,0.9644381223328593,1
