fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.7049389027191196,1,1.8689579414956607,1,993.0250386650164,1,0.0232292736359192,1,23.988486779757977,1,0.9980681818181818,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7018579419370111,1,1.439593585277497,1,1114.9063568685497,1,0.4853487392623943,1,24.558206405115968,1,0.9962499999999999,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.6672979837994658,1,1.7823490600206047,1,1166.4466239053163,1,-0.00012974856668357404,0,21.127625635293068,1,0.9923863636363637,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.6065073634446269,1,2.344401991991991,1,326.2639764335492,1,0.5704292736967056,1,14.052043257421664,1,0.9922727272727274,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.6226990587925808,1,1.534627699919773,1,253.50996972652936,1,0.35963724183617596,1,15.992674313605436,1,0.9921590909090907,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.6465042549218006,1,1.8525975713374248,1,1153.2734584841528,1,-0.00010665362340134266,0,18.91037694100888,1,0.9919318181818181,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155145,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.6581131720224529,1,1.383442775488989,0,465.52549208535504,1,0.16977705753037697,1,18.367236809002463,1,0.9918181818181816,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6142220538417356,1,1.4645841496641652,1,280.2431702529493,1,0.07449787392530971,1,16.2243449007374,1,0.9906818181818181,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6677025993764475,1,1.3522615001274005,0,505.30481797127703,1,0.027068449574933373,1,16.62726891369632,1,0.9898863636363636,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155145,4.465139959549508,1.4633464844662087,8.885696373339394,8.885696373339394,0.7818456368363298,0.622436178882732,1,1.5842305759714221,1,1002.3942234958517,1,-0.00024619957455840336,0,17.296293239195137,1,0.989090909090909,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,-0.033840267359483533,0.033840267359483533,0.4316169365496553,2.015642301593891,3.1947174628936,-0.006595904314682741,0.5606481754535774,0,1.8688959685962057,1,148.68905137029796,0,0.08509348101721415,1,13.346260545221519,1,0.9857954545454545,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.6138005554838072,1,1.5030973351241,1,904.6205702698506,1,-0.0003346828099379806,0,15.207155216275247,1,0.9853409090909091,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.6704457982672924,1,1.2624240850795458,0,868.9365006533473,1,0.07723912011489809,1,21.20634345213354,1,0.9852272727272726,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.1723212298827212,1.1723212298827212,0.5843854734643307,4.570402210259986,4.570402210259986,0.2162550009811852,0.6125644587575576,1,1.5445214046680595,1,110.0964401769178,0,0.2162451519567654,1,14.759661461625598,1,0.9849999999999998,1
