fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,fused_rank,is_anomaly_fused
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.6912901730572801,1,2.5805999078552637,1,0.6683404814178906,1,9775.534463097041,1,0.2881987719459582,1,0.9948790896159319,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,2.1185925765273197,4.4633600878687005,1.4633464844662087,8.885696373339394,8.885696373339394,0.5033588219253996,0.7204177187013437,1,2.8330316422640243,1,0.5884469987305617,1,20605.022551764738,1,0.0003639356568636565,1,0.9926031294452349,1
1750,1.0986122886681098,0.6931471805599453,4.959426206689514,35.5086712,33.88883598,5.715133645007413,-1.1924218391670918,2.1185925765273197,2.1908751641109925,0.8677708195016465,7.154939594045725,4.514264274889933,0.3706986937003766,0.624207004465214,1,1.5286901469475014,1,0.7685312128919486,1,2964.1196843988478,1,0.001889698638398718,1,0.9897581792318636,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6019404997180167,1,1.8429513273587086,1,2.1034107940380857,1,1940.6729296033507,1,0.22334500228563026,1,0.9894736842105264,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,2.1185925765273197,3.9157917378587923,1.5461992827517541,3.873657180281966,3.873657180281966,0.5254331911044049,0.6624368057567028,1,1.8083526734419288,1,0.7917906086457307,1,7222.4762219391105,1,9.089639834169994e-05,0,0.988620199146515,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,2.1185925765273197,3.4927470185424085,1.3526164861885424,3.322941055308622,4.664337463663974,0.4431764782167604,0.6547686317063902,1,1.5726197047891888,1,0.6457766174394605,1,4383.884167516402,1,0.00023717536457268373,1,0.9871977240398294,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.7244943717340118,1,3.282629693201476,1,0.9867530467820025,1,26810.377540026566,1,-0.00038718804460557976,0,0.9860597439544808,1
1002,1.0986122886681098,0.6931471805599453,4.820386398819521,35.5139740899999,33.8947290899999,6.07251836443936,-1.1924218391670918,1.9835180793974398,1.9835180793974398,0.7938035110849037,6.954347552745531,4.387704787704005,0.3266384653544916,0.6073168168358453,1,1.4528256191321598,1,0.7676593905365956,1,2860.9075553626517,1,-0.004614515104161221,0,0.970412517780939,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,2.1185925765273197,3.2977828495606873,1.2668268875428923,4.892789260714372,4.892789260714372,0.49930251721601215,0.646693868923506,1,1.4301540290168389,0,0.31253787546055656,0,4150.841148497702,1,-0.000450571591988691,0,0.9638691322901849,1
1310,0.6931471805599453,2.302585092994046,3.663330850267561,35.52513744,33.89626839,4.990468388872521,-0.4228999466420856,0.7177156365405781,0.7177156365405781,0.734065535498804,1.5909643736571493,5.28506925081656,0.14381728940331573,0.49416599541121026,0,1.5644145801818445,1,1.2142791417472307,1,2553.024518944093,1,0.0003649737890953908,1,0.9624466571834993,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,35.52780458,33.9012114,6.399216420106812,-1.9043027771337224,-1.9423846596717498,2.0955341854907514,0.14505202540468784,1.3391373849195853,1.3391373849195853,-0.30353476615803043,0.6152621932757553,1,1.5797569222008936,1,0.41302455860973003,0,331.8684380942389,0,-0.0003453174959131555,0,0.9587482219061167,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,0.4072081111227632,0.4072081111227632,0.4316169365496553,2.0156423015938905,3.1947174628936,0.07937010983383186,0.5449210568579367,0,1.8454160431382802,1,0.5239679540011003,1,420.88230529966813,0,0.00015084455357672333,1,0.9581792318634423,1
28,0.6931471805599453,1.0986122886681098,4.063558840956468,35.52840983,33.89228148,5.277795022029536,-1.731581372624909,1.6164111706993705,1.6164111706993705,0.7699349489692491,3.6988106567448624,5.8624761882084,0.30626637903754583,0.5646547539221795,0,1.2796904166414218,0,0.5342923885175158,1,3234.0213721569503,1,-2.0078851986626844e-05,0,0.9550497866287341,1
641,2.302585092994046,2.5649493574615367,2.123936781566387,35.5108998899999,33.8801302299999,4.503912304312226,2.5112792420117174,-1.724242576381826,1.724242576381826,0.47157596286518394,0.8280618778642834,0.9224140241456342,-0.3828321823075834,0.5913784340012883,1,1.4370407554141134,0,0.29517833535829097,0,312.8604010981089,0,0.00020024072249413827,1,0.9519203413940257,1
