fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5207385542873046,1.5207385542873046,0.876176017356294,7.088046166153979,2.3626820553846595,0.2712026441009752,0.6650233239605177,1,1.5778452900582143,1,0.7259642095144461,1,367.2140146415755,1,0.12513845991817152,1,19.034642260995078,1,0.994318181818182,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.2803165301470054,4.686812461594567,1.433151154474292,9.90388184573618,9.90388184573618,0.6848206361264548,0.7092276649756546,1,2.3656008112742635,1,0.25626406488162884,0,2253.570854505286,1,8.293509718670933e-05,1,22.190679873439485,1,0.991540404040404,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.9496196641514683,1.9496196641514683,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.36313925128853675,0.6418200774193352,1,1.4436358289285116,0,1.1547681756487687,1,505.2354844246119,1,0.031737361614347925,1,15.756184752114608,1,0.9907828282828284,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.2803165301470054,3.3430733766352057,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6366480255015735,0.6854982325415917,1,1.4854056788257288,1,0.2637107715494876,0,983.0194190538989,1,0.01197037430496084,1,17.289128298902984,1,0.9892676767676769,1
621,1.0986122886681096,1.0986122886681096,6.261491684321042,33.8905660499999,35.4876042,4.85297321985314,-0.0156274398299077,3.2803165301470054,3.665573339635684,1.2902382520278006,5.69945534826676,5.69945534826676,0.6759395491257778,0.6105941634439505,1,1.4345867207785545,0,0.37023178083244085,1,1186.141927977743,1,9.026557608815544e-05,1,12.678065840709765,1,0.9848484848484849,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.2803165301470054,4.433148803096777,1.4633464844662087,8.885696373339394,8.885696373339394,0.7793741384970434,0.6741024440989436,1,2.080222154153494,1,0.16115964239640523,0,2038.335361011637,1,0.00021125393663812275,1,17.978506449332034,1,0.9825757575757574,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.113986173675408,1.113986173675408,0.5843854734643307,4.570402210259986,4.570402210259986,0.20549408723520446,0.5902554655684625,1,1.496909454393555,1,0.6251788759668965,1,176.65317474702186,0,0.00020395310879028905,1,13.367427865191035,1,0.9823232323232324,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.9439513559839816,-1.9043027771337224,3.24864415801808,3.24864415801808,1.1323436106479001,6.442943495848729,6.442943495848729,0.8237028971184082,0.5889963555158598,1,1.4980305787281527,1,0.2598578182302674,0,1158.9801422316739,1,3.9980560467389736e-05,0,12.012988307040303,0,0.9813131313131312,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.2803165301470054,4.674507899770349,1.3973382018991465,9.949826710759112,9.949826710759112,0.6646244391140312,0.6900567925268151,1,2.4156295844756195,1,0.12744567222466305,0,2239.793035013045,1,0.00023051035907606376,1,19.86550304399048,1,0.9756313131313131,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.2803165301470054,4.865865512865672,1.663933770214046,6.273028226734328,6.273028226734328,0.7920089588492617,0.6665204846876773,1,1.6596482815036027,1,0.13039772915884223,0,1882.2267617130894,1,-0.0003109967160113136,0,20.757739839547288,1,0.9700757575757576,1
30,1.0986122886681096,1.0986122886681096,5.036296543097928,33.89229959,35.53154628,3.980881148967695,-0.0156274398299077,3.0359154883957897,3.0359154883957897,1.265121051002469,4.584234670452873,4.584234670452873,0.7626239957410058,0.6184663831552342,1,1.3502369412796371,0,0.16688821954139246,0,884.2141411930806,1,-5.047301147542704e-05,0,13.433254575054647,1,0.9680555555555558,1
1538,1.6094379124341005,2.5649493574615367,6.627710633659567,33.8994634499999,35.47561701,6.521400854570621,-0.0156274398299077,1.7084527216641119,1.7084527216641119,1.0163016783448355,2.583953797910006,4.11802815284491,0.26197633909694684,0.5549806810827822,0,1.3115161055381488,0,0.37463330519348376,1,297.42550127201855,0,2.6432415761279415e-05,0,7.531736020824761,0,0.9657828282828281,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,-0.08020658531149971,0.08020658531149971,0.4316169365496553,2.015642301593891,3.1947174628936,-0.015633297352594097,0.5778540713528322,0,1.836658274676666,1,0.15891257469536674,0,139.40571691664454,0,5.7079820307448514e-05,1,13.386885117381624,1,0.9656565656565658,1
