fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.302366304315946,4.954400116953394,1.625279018247219,6.270248868157708,9.93810932621924,0.7791551437509254,0.7346730903687472,1,2.149819944871265,1,28848.49818045905,1,0.4926833493483582,1,0.8796925107575013,1,0.9985227272727272,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.302366304315946,4.008445926610623,1.1920739609994475,9.843921051289035,9.843921051289035,0.5769455963687352,0.714082810282349,1,2.3830426476762843,1,20280.169804859885,1,0.008643732538998083,1,0.8926846651006595,1,0.9973863636363637,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.034824342843683,4.926950383631272,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32988360796928234,0.6871582615896354,1,2.455813321804968,1,27281.42375073374,1,0.5308576085396157,1,0.8137058023238527,1,0.9972727272727273,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.302366304315946,4.888160737682699,1.663933770214046,6.273028226734327,6.273028226734327,0.7973327190784677,0.7161923093722425,1,1.767190018816432,1,18429.56737598373,1,0.12391888757432379,1,0.844241574438537,1,0.9963636363636363,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.302366304315946,4.700186616224821,1.3973382018991465,9.949826710759112,9.949826710759112,0.6690919405441346,0.7466339924581703,1,2.4691305204622513,1,27708.830617443124,1,-3.054325024764992e-05,0,0.8994278337172279,1,0.9943181818181819,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.302366304315946,4.470644949516924,1.4633464844662087,8.885696373339394,8.885696373339394,0.7846129694418736,0.7379457419655804,1,2.1666292246846677,1,19544.201377628222,1,1.7077822031641432e-05,0,0.8776485411987197,1,0.9938636363636364,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.302366304315946,4.687428081492829,1.433151154474292,9.90388184573618,9.90388184573618,0.68942389323108,0.7460382492277655,1,2.45312403128772,1,27403.65268695918,1,-3.2688648247569674e-05,0,0.8973900578822479,1,0.9935227272727272,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.302366304315946,3.30995586711294,1.1328145166338148,6.442943495848729,6.442943495848729,0.8376725157297871,0.6939931805135129,1,1.598601326347766,1,7308.559897652542,1,0.00040214128788607084,1,0.8054823505115213,1,0.9930681818181817,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.302366304315946,4.20750081194961,1.393165100563557,8.581200581924957,8.581200581924957,0.7734893108091465,0.7189535573700817,1,2.0463980784625058,1,15618.662345506185,1,-9.604825620423973e-05,0,0.869037504798847,1,0.9904545454545455,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.302366304315946,3.3799232412575346,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6409274738591936,0.6768540060803094,1,1.6523035599469884,1,2161.3623282389735,0,0.09166359143662972,1,0.791058806199887,1,0.9895454545454545,1
1729,0.6931471805599453,0.6931471805599453,4.859789148277298,35.5165647299999,33.89609087,5.446970821768159,-0.0156274398299077,2.2463287155410745,2.2463287155410745,0.8922003269883033,7.011193703985658,7.011193703985658,0.412399623395061,0.6320669476014366,1,1.5017933819630698,1,6835.90645676152,1,0.00028441500056519686,1,0.7913182346029929,1,0.9889772727272728,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.930485215261121,1.930485215261121,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.35957523848561723,0.6519288985524135,1,1.4712871819900375,0,5331.798059337961,1,0.00027704762458391485,1,0.7753601705241856,1,0.9880681818181817,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,3.302366304315946,3.9053957098453127,1.5461992827517541,3.873657180281966,3.873657180281966,0.8190214979024365,0.6848856201148722,1,1.8200347464739732,1,3991.7547751391157,1,-0.00035447232590590794,0,0.805394227729726,1,0.9862499999999998,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.3397970167620419,1.3397970167620419,0.5843854734643307,4.570402210259985,4.570402210259985,0.2471488170554155,0.5641340245696297,0,2.050774017638672,1,2293.3464474939333,0,0.6103256547006854,1,0.8013717688365205,1,0.9854545454545456,1
