fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.7060176417123454,1,3.292052244496473,1,1.6682807506829513,1,857.2275120763037,1,0.0001418180121495194,0,23.21614747954815,1,0.9964438122332858,1
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.623309783999543,1,2.597780947486454,1,1.5030433903676574,1,302.40140410136246,1,0.0003437947292794785,1,14.029037191101294,1,0.9945471787577053,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,2.1185925765273197,3.9157917378587923,1.5461992827517541,3.873657180281966,3.873657180281966,0.5254331911044049,0.6946162170234829,1,1.6891398856836328,1,1.5159628840143546,1,369.20318189182126,1,8.242781277090216e-05,0,23.192859419846823,1,0.9926505452821243,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,2.1185925765273197,3.4927470185424085,1.3526164861885424,3.322941055308622,4.664337463663974,0.4431764782167604,0.6391486857900505,1,1.545475123346513,1,1.3698282933166486,1,301.9034790858535,1,0.00011170730407439322,0,16.08346056780551,1,0.9890943575154103,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,0.4072081111227632,0.4072081111227632,0.4316169365496553,2.0156423015938905,3.1947174628936,0.07937010983383186,0.5905840203265602,1,1.7332659295867778,1,1.2892865346961169,1,170.89962518563007,1,0.00019542829501772996,1,11.873435267186682,1,0.9879089615931722,1
1750,1.0986122886681098,0.6931471805599453,4.959426206689514,35.5086712,33.88883598,5.715133645007413,-1.1924218391670918,2.1185925765273197,2.1908751641109925,0.8677708195016465,7.154939594045725,4.514264274889933,0.3706986937003766,0.6438317090209217,1,1.528532109816305,1,0.5992343590571995,0,221.04406759676618,1,-4.8804519213074826e-05,0,14.612258121301775,1,0.979611190137506,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6147748009663135,1,1.548602020517736,1,0.6191237893293721,0,133.09754340542037,0,4.76146117777132e-05,0,15.402540756345427,1,0.979611190137506,1
87,1.791759469228055,2.3978952727983707,6.770751579156178,35.4807577099999,33.8945956399999,6.042958756005733,-0.0156274398299077,2.1185925765273197,2.6604150580501242,1.1204365034639918,2.823622722794993,3.7788284060657014,0.3505886209171588,0.6148444540277572,1,1.4961308224448364,0,0.44694736441678323,0,234.9629317866781,1,0.0001295058663023374,0,13.112057939396545,1,0.9765291607396872,1
1310,0.6931471805599453,2.302585092994046,3.663330850267561,35.52513744,33.89626839,4.990468388872521,-0.4228999466420856,0.7177156365405781,0.7177156365405781,0.734065535498804,1.5909643736571493,5.28506925081656,0.14381728940331573,0.5683787650458684,0,1.5995895981067385,1,0.7985106867496,1,111.42688187038146,0,3.224761628284334e-06,0,8.73593561859144,0,0.9748696064485537,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,2.1185925765273197,3.2977828495606873,1.2668268875428923,4.892789260714372,4.892789260714372,0.49930251721601215,0.637676934745677,1,1.3944006748267723,0,0.5547643563600849,0,284.596563011202,1,-8.4897917240645e-05,0,17.18879250495002,1,0.974158368895211,1
