fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,2.1622919076446516,4.687312583692167,1.433151154474292,9.90388184573618,9.90388184573618,0.45141440043224595,0.7211200951134672,1,3.2744712102802658,1,1.384496692339228,1,10105.094765337453,1,2.7024099314685324,1,0.9176821314633745,1,62.12515241977891,1,0.9989839463523674,1
10,2.639057329615259,3.367295829986474,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-1.9063889887732393,4.939673489606513,0.2133712655359028,0.390859659396772,0.4987159946951817,-0.3090618018312844,0.6850084544577842,1,2.633381177687136,1,1.852631093988434,1,2607.1542556025374,1,2.8214933109419342,1,0.8440074051595791,1,65.43939224520307,1,0.9981711034342615,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,2.1622919076446516,4.430684933254391,1.4633464844662087,8.885696373339394,8.885696373339394,0.5137413957500486,0.7231222010571418,1,2.809859671733661,1,0.7166951398228025,1,7609.362721405209,1,2.700977997393476,1,0.9038885386453647,1,46.723915773244435,1,0.9957325746799431,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,2.1622919076446516,3.8616768094778835,1.5461992827517541,3.873657180281966,3.873657180281966,0.5362710837943454,0.657570296900752,1,1.7586361397312988,1,1.1673211075422034,1,2219.4555462777753,1,1.732004161929669,1,0.8065748612124577,1,38.05276378156329,1,0.9943100995732576,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,33.9008645899999,35.5283341,4.780471619459692,-0.4228999466420856,2.1622919076446516,3.4791208927250628,1.3526164861885424,3.322941055308622,4.664337463663974,0.4523176957776903,0.6437166228654599,1,1.5718568792466918,1,0.7073483961548163,1,1232.7579474626189,1,1.3269701245344874,1,0.7885071552345501,1,20.876349047736063,1,0.9878073562284089,1
1750,1.0986122886681096,0.6931471805599453,4.959426206689514,33.88883598,35.5086712,5.715133645007413,-1.1924218391670918,2.1622919076446516,2.2158888802796013,0.8677708195016465,7.154939594045725,4.514264274889934,0.3783449420353576,0.6287608858520634,1,1.532841309395335,1,0.8580352839209422,1,1636.5008132161292,1,1.0479925080370354,1,0.8043354304179203,1,15.915391882856417,1,0.9871977240398292,1
1517,1.0986122886681096,1.0986122886681096,5.375278407684165,33.8892338,35.5291301899999,4.243104137227407,-1.1924218391670918,2.1622919076446516,3.297060654218067,1.2668268875428923,4.892789260714373,4.892789260714373,0.50960142332438,0.6374465539142736,1,1.4113725913153845,1,0.4377704299776007,1,1115.2950773753032,1,1.0745398039563825,1,0.7931061377021077,1,15.544357507448217,1,0.9788660841292421,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.780379798016999,1.780379798016999,0.5843854734643307,4.570402210259986,4.570402210259986,0.3284219590611401,0.6000748110633197,1,1.8443832775846138,1,2.1470222462054016,1,906.8225625810578,1,2.6680247279455402,1,0.821775829089437,1,2.4840665595873084,0,0.978866084129242,1
1002,1.0986122886681096,0.6931471805599453,4.820386398819521,33.8947290899999,35.5139740899999,6.07251836443936,-1.1924218391670918,1.8712340714463185,1.8712340714463185,0.7938035110849037,6.954347552745531,4.387704787704006,0.308147947712148,0.6097649944366078,1,1.4442890665599384,1,0.8856171619523129,1,1537.4167707235015,1,0.5541180202467126,1,0.7796264788819139,1,3.582035287131207,1,0.9762243446453974,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,33.9012114,35.52780458,6.399216420106812,-1.9043027771337224,-1.9063889887732393,2.0661643471351665,0.14505202540468784,1.3391373849195853,1.3391373849195853,-0.2979097538853701,0.6194032816715506,1,1.5599293123536377,1,0.33406338258076756,1,239.37248799968592,0,0.7647783275789211,1,0.658538941749605,1,24.970171009970414,1,0.967079861816704,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,0.25590775068444094,0.25590775068444094,0.4316169365496553,2.015642301593891,3.1947174628936,0.04987971929918052,0.5410895671803678,0,1.8229532851504302,1,0.656600347620742,1,419.21648631440627,1,1.1656627270036437,1,0.6926584304409429,1,4.729106730836035,1,0.9642349116033326,1
641,2.302585092994046,2.5649493574615367,2.123936781566387,33.8801302299999,35.5108998899999,4.503912304312226,2.5112792420117174,-1.7545760040638512,1.7545760040638512,0.47157596286518394,0.8280618778642834,0.9224140241456342,-0.3895670886806455,0.5970704667441986,1,1.4716897564502032,1,0.2933461883751756,0,211.57370749727056,0,0.24051811675717394,1,0.6567810070064527,1,20.499508688950137,1,0.9559032716927455,1
1310,0.6931471805599453,2.302585092994046,3.663330850267561,33.89626839,35.52513744,4.990468388872521,-0.4228999466420856,0.6496980115201891,0.6496980115201891,0.734065535498804,1.5909643736571493,5.28506925081656,0.13018778216667015,0.4915852654097388,0,1.6035020155095931,1,1.3185028619429602,1,2121.018477090327,1,0.29129030986772975,1,0.6857234769501497,1,2.3970951518800074,0,0.9536679536679538,1
28,0.6931471805599453,1.0986122886681096,4.063558840956468,33.89228148,35.52840983,5.277795022029535,-1.731581372624909,1.6190207236235366,1.6190207236235366,0.7699349489692492,3.6988106567448633,5.8624761882084,0.3067608190287304,0.5677903098218947,1,1.2789051114784735,0,0.5169774263738323,1,2152.0412632705747,1,0.4810949757628804,1,0.7149310580318551,1,1.3077238109344353,0,0.9526519000203212,1
54,2.4849066497880004,2.4849066497880004,1.8492419046414168,33.90067363,35.4873119399999,6.027595689943101,1.77209775307598,-1.9063889887732393,2.826586300054256,0.30679594315306064,0.7441896880911743,0.7441896880911743,-0.3162768518057712,0.6227849397635626,1,1.467599108019918,1,0.1699581525910066,0,793.6170959344718,1,0.46354833297956466,1,0.6907930085298791,1,50.44281855106954,1,0.9494005283478967,1
87,1.791759469228055,2.3978952727983707,6.770751579156178,33.8945956399999,35.4807577099999,6.042958756005733,-0.0156274398299077,2.1622919076446516,2.6456592839851982,1.1204365034639918,2.823622722794993,3.7788284060657014,0.35782006711458686,0.6374389830984081,1,1.50453081090941,1,0.16889676014393643,0,436.4694410741225,1,0.7137305054699432,1,0.7476812703592609,1,15.181176697068759,1,0.9479780532412112,1
1049,2.302585092994046,3.091042453358316,2.0409605548615546,33.8812960699999,35.50895209,5.421599851726236,1.77209775307598,-1.9063889887732393,2.490878942410434,0.37644986916762463,0.6602822787646019,0.8863779067585722,-0.3516284936016157,0.6103464351951097,1,1.4554124658389327,1,0.21373725007292227,0,332.6099956777939,1,0.16089549274630865,1,0.6611636737571059,1,9.421226970829485,1,0.9475716317821581,1
1159,2.4849066497880004,2.3978952727983707,5.971289900621244,33.88286884,35.52352312,5.272083664404303,0.8457654036941855,1.907274304531981,1.907274304531981,1.1326242678844027,2.4902213071435275,2.4030238323563116,0.3617685958607573,0.5918178064230161,1,1.7141294677598458,1,0.2557702167332202,0,107.30926622975866,0,1.160293317626556,1,0.7035916775994769,1,3.256179760564562,0,0.9451331030278399,1
549,1.6094379124341005,2.302585092994046,6.155535147142134,33.89617692,35.4799185299999,5.894472122924939,0.4071381378692232,2.1622919076446516,2.1622919076446516,1.044289466261425,2.6733149475653497,3.8246490278289476,0.3668338508608783,0.6167453661911346,1,1.4085760748147291,1,0.17409536019942864,0,321.0365938341383,1,0.33715567622896314,1,0.7189257928818104,1,29.574010055938025,1,0.9443202601097338,1
29,0.6931471805599453,1.0986122886681096,2.9114807211064,33.8972848599999,35.47233568,5.190530959582707,-1.5553900411763233,0.4908672721678027,0.4908672721678027,0.5609215596202645,2.6501439599188368,4.200378797984026,0.09456976097244316,0.5157381086745791,0,1.5446772756858578,1,0.32817983531127215,1,842.3291836838296,1,0.1837933994547618,1,0.6810138441919784,1,1.4461287562875107,0,0.9443202601097338,1
522,1.0986122886681096,1.6094379124341005,4.879227359623526,33.8911034699999,35.4877564,5.478902590938965,-1.1924218391670918,1.8612425976012634,1.8612425976012634,0.890548294779472,3.0316344121931507,4.441264138360225,0.3397108392982557,0.5811695822851517,1,1.2787617484534262,0,0.3354118695541992,1,536.3742213285192,1,-0.00010421805454630118,0,0.6825322579634924,1,5.135496286010202,1,0.941678520625889,1
1435,0.6931471805599453,0.6931471805599453,0.7385984434638626,33.8949979499999,35.52861046,5.0252772518119695,1.77209775307598,-1.9016895480513734,1.9016895480513734,0.1469766555064291,1.065572311593622,1.065572311593622,-0.37842480180883137,0.5874188420913707,1,1.4044867082280414,1,0.26846273563122,0,119.42350298776844,0,0.16589351285512466,1,0.6249133042774864,1,14.220896866005502,1,0.9410688884373096,1
455,0.6931471805599453,0.6931471805599453,3.6874284018466215,33.89360389,35.53202504,5.551554312927266,0.8457654036941855,0.8825303981172281,0.8825303981172281,0.6642154960566865,5.3198346689772364,5.3198346689772364,0.15896996559363225,0.5495088246971556,1,1.2772856884435229,0,0.4438513558192589,1,886.8684227225672,1,0.24372338048677644,1,0.7057244931837288,1,0.38331191733669634,0,0.9394432026010974,1
53,0.6931471805599453,0.6931471805599453,3.54214702423921,33.89984254,35.4875081799999,5.136134634482512,-0.0156274398299077,1.1047410829307545,1.1047410829307545,0.689652292301348,5.110237945969508,5.110237945969508,0.2150919244822448,0.5888141490822724,1,1.24887871897899,0,0.2564724087833409,0,862.6813852374387,1,0.33344887390676003,1,0.7223873081938897,1,1.566707497444904,0,0.9372078845763055,1
1151,1.0986122886681096,2.19722457733622,4.339066940233745,33.8824610799999,35.52814723,4.86112515929073,1.300626634375449,1.041400752141175,1.041400752141175,0.8926054767260596,1.9747944679802203,3.9495889359604424,0.21423039276222258,0.5158072063421855,0,1.4402915489970676,1,0.5366830284803034,1,319.74122529546514,1,-0.00031465908412542376,0,0.6271572829042138,1,3.5720169613358124,1,0.9363950416581996,1
1373,0.6931471805599453,1.9459101490553128,3.026552415893877,33.89739233,35.5340508,4.323044159080657,-0.4228999466420856,0.5566464446499055,0.5566464446499055,0.7000975017885328,1.555340269623028,4.366392161400608,0.12876260897790193,0.4912589716872147,0,1.4473326461027367,1,0.843393859286237,1,1105.4694861640423,1,0.00029232247782662313,1,0.6051593688128755,1,1.5922435353047977,0,0.9359886201991465,1
1746,0.6931471805599453,0.6931471805599453,2.679719311334148,33.9007689099999,35.52984721,5.543091136295888,-1.1924218391670918,0.1837119312565232,0.1837119312565232,0.4834341066102049,3.8660177614361637,3.8660177614361637,0.03314250600239756,0.5113399500660676,0,1.3789927743016832,1,0.32793346592941897,1,271.712127514549,0,0.00040155529786911615,1,0.6094210300632775,1,2.755379466430629,0,0.9280634017476123,1
1241,0.6931471805599453,0.6931471805599453,3.56953269648137,33.8881709899999,35.52937227,4.2566007634402405,-1.1924218391670918,1.813684883590685,1.813684883590685,0.8385876183502883,5.149747119504682,5.149747119504682,0.42608761882682206,0.6073300178775164,1,1.2871965594795576,0,0.14739287682666047,0,821.5006355216701,1,0.10673249933140383,1,0.7133888416638788,1,20.35704845285025,1,0.9276569802885594,1
1702,1.0986122886681096,0.6931471805599453,4.156050951658079,33.89265601,35.5153506699999,6.066488641810048,-0.4228999466420856,1.095583766380622,1.095583766380622,0.6850834472869045,5.995914097638968,3.783000604058982,0.18059603026862908,0.5466328435888381,0,1.2727760503395833,0,0.8089193471264593,1,998.0857728795704,1,0.00015861473869804854,1,0.6912310047814086,1,-1.9506204767980257,0,0.9246088193456615,1
1505,0.6931471805599453,1.791759469228055,2.920469789053444,33.89719842,35.53446625,4.2179307777985455,-0.0156274398299077,0.519325134894371,0.519325134894371,0.6923939587689767,1.6299452237926066,4.213347281733441,0.1231232000363508,0.4807269748411721,0,1.4174903039496347,1,0.7400460700292619,1,968.8030833600402,1,-0.04790837031174888,0,0.5759344014385667,0,3.1953476286029012,0,0.9229831335094492,1
34,1.791759469228055,2.3978952727983707,1.9518922207328608,33.9016950199999,35.4935423399999,6.399216420106812,0.8457654036941855,-1.9063889887732393,2.6776694308615396,0.305020504479247,0.8140022806146078,1.0893717902737223,-0.2979097538853701,0.6016196002315294,1,1.3907770452958936,1,0.13469052494262623,0,429.7834590732517,1,0.05670098449262806,1,0.6611636737571059,1,22.164312135823366,1,0.9223735013208697,1
284,0.6931471805599453,2.19722457733622,3.5310846424965776,33.8901357,35.52501274,5.421599217242729,-0.4228999466420856,0.31659375609149487,0.31659375609149487,0.6512994599944602,1.6070658770699933,5.094278302688991,0.05839490220608845,0.4692471259505848,0,1.5247317190012188,1,1.2149230772899906,1,1886.4148102323845,1,0.08121530153966994,1,0.6628785782221907,1,-1.0157279149713343,0,0.9217638691322902,1
718,0.6931471805599453,1.6094379124341005,3.1938451551429545,33.8861022199999,35.52049654,5.769496382037892,-0.8150443270305894,0.10093005290530188,0.10093005290530188,0.5535743405761232,1.9844475704642808,4.6077445666919825,0.017493737099745183,0.47872664532302667,0,1.4763679252898962,1,0.8275220828377645,1,1294.660750861079,1,-3.019224233469231e-05,0,0.6239427325246589,1,-2.0355785725588955,0,0.9128225970331235,1
