fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.302366304315946,4.687428081492829,1.433151154474292,9.90388184573618,9.90388184573618,0.68942389323108,0.6599257330853691,1,2.464539923714703,1,0.3820550636916219,1,886.6662487633049,1,0.8987195141597821,1,0.9967045454545455,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.302366304315946,4.008445926610623,1.1920739609994475,9.843921051289035,9.843921051289035,0.5769455963687352,0.69079619549516,1,2.410964977254638,1,0.37655564595339014,1,767.1600682713221,1,0.8971521378608566,1,0.996590909090909,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.034824342843683,4.926950383631272,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32988360796928234,0.5777686941598418,1,2.489952667588523,1,1.2733220960116884,1,393.23765650603025,1,0.8184673941395849,1,0.9940909090909091,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.544915367463036,1.544915367463036,0.876176017356294,7.088046166153979,2.3626820553846595,0.2755142436462807,0.6347886793647523,1,1.5618990715979668,1,1.219808863266767,1,215.24717762325508,1,0.7792224065880524,1,0.9910227272727272,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.930485215261121,1.930485215261121,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.35957523848561723,0.6099523626972919,1,1.4882438300802223,0,1.2821611022626052,1,216.66979458785931,1,0.7877361149097885,1,0.9893181818181818,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.302366304315946,4.700186616224821,1.3973382018991465,9.949826710759112,9.949826710759112,0.6690919405441346,0.6410466499482029,1,2.4734210194602277,1,0.18015167571430865,0,884.1630376718972,1,0.8993493901415431,1,0.984659090909091,1
30,1.0986122886681098,1.0986122886681098,5.036296543097928,35.53154628,33.89229959,3.980881148967695,-0.0156274398299077,3.06140383881704,3.06140383881704,1.265121051002469,4.584234670452872,4.584234670452872,0.7690266863683961,0.6078319334394262,1,1.4615753177592636,0,0.24187271234255645,0,269.22587107589135,1,0.7649879118048643,1,0.9812499999999998,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.034824342843683,3.677778831455411,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.34433358575274525,0.5442281287656296,0,1.6099640996155005,1,0.3092057878642382,0,260.41427117458016,1,0.713340246929284,1,0.9804545454545455,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.3397970167620419,1.3397970167620419,0.5843854734643307,4.570402210259985,4.570402210259985,0.2471488170554155,0.6033782880268703,1,1.535960842681874,1,0.9455965975510613,1,98.16390880176488,0,0.7436197299637372,1,0.9798863636363636,1
621,1.0986122886681098,1.0986122886681098,6.261491684321042,35.4876042,33.8905660499999,4.85297321985314,-0.0156274398299077,3.302366304315946,3.6782704774502992,1.2902382520278006,5.699455348266758,5.699455348266758,0.6804831089539541,0.6122215232197354,1,1.5051251202738043,1,0.19023202162509106,0,410.32654894380823,1,0.8038438007798995,1,0.979659090909091,1
