fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.2803165301470054,4.674507899770349,1.3973382018991465,9.949826710759112,9.949826710759112,0.6646244391140312,0.6710758193327204,1,1.663471315696329,1,1275.354729526208,1,0.18169667176791648,1,0.3864646605409112,1,19.86550304399048,1,0.9964646464646464,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.2803165301470054,4.686812461594567,1.433151154474292,9.90388184573618,9.90388184573618,0.6848206361264548,0.6837998546815208,1,1.6368936608195326,1,1283.1656034497992,1,5.009622092977395e-05,0,0.3864646605409112,1,22.190679873439485,1,0.9924242424242425,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.2803165301470054,4.180754186288713,1.393165100563557,8.581200581924957,8.581200581924957,0.7683247521097857,0.6239290529273687,1,1.3438622233549589,1,1001.1502780076659,1,0.00018494448485295578,1,0.3864646605409112,1,15.814287087432286,1,0.9873737373737373,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.2803165301470054,4.433148803096777,1.4633464844662087,8.885696373339394,8.885696373339394,0.7793741384970434,0.6537696835828484,1,1.4008660533587645,1,1109.445303299751,1,-0.000262720737870481,0,0.3864646605409112,1,17.978506449332034,1,0.9867424242424243,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.113986173675408,1.113986173675408,0.5843854734643307,4.570402210259986,4.570402210259986,0.20549408723520446,0.593332104932567,1,1.6005704241637688,1,114.40552742105314,0,0.4611241898912568,1,0.4607272970496585,1,13.367427865191035,1,0.9845959595959596,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,-0.08020658531149971,0.08020658531149971,0.4316169365496553,2.015642301593891,3.1947174628936,-0.015633297352594097,0.5524439376104185,1,1.7137282559252067,1,153.17688027552617,0,0.2773595970411109,1,0.3361444664238606,1,13.386885117381624,1,0.9843434343434344,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,33.8862673599999,35.52780327,5.0400698160457456,2.2605583165504184,2.8174973200271753,2.8174973200271753,1.3176766219780305,3.022532261036308,3.022532261036308,0.5590195022809586,0.616425395607675,1,1.2754343591066273,0,302.28366263768896,1,0.00018140656137211053,1,0.4627099917496295,1,15.793695482855261,1,0.9820707070707071,1
1750,1.0986122886681096,0.6931471805599453,4.959426206689514,33.88883598,35.5086712,5.715133645007413,-1.1924218391670918,2.030428953994991,2.030428953994991,0.8677708195016465,7.154939594045725,4.514264274889934,0.355272348839772,0.5923976648040009,1,1.2453232398515612,0,290.75622717239105,1,0.13121808110094113,1,0.44544256286825024,1,13.288399741309302,1,0.979040404040404,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.9496196641514683,1.9496196641514683,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.36313925128853675,0.6260061413048226,1,1.48191126337122,1,304.32692306552264,1,0.5770008016637118,1,0.1499213897244948,0,15.756184752114608,1,0.976641414141414,1
1367,1.0986122886681096,1.6094379124341005,4.535980866635092,33.8975098499999,35.5342097799999,4.082153587157697,-0.0156274398299077,2.250769529783397,2.250769529783397,1.1111734945263008,2.818363374934366,4.128827716040059,0.5513681643101902,0.5548282028090136,1,1.3744842459237099,1,231.21503299104845,1,-0.000466520311033225,0,0.4265836609837807,1,10.180678223725074,1,0.9753787878787877,1
499,0.6931471805599453,1.0986122886681096,4.095027662189515,33.89872435,35.4817636699999,5.368162831559142,-0.0156274398299077,1.321771025537699,1.321771025537699,0.7628359628204767,3.7274548122468905,5.907876100543938,0.24622409323485456,0.5795764015250524,1,1.3154768035638393,0,186.94764485011962,1,-0.00015584790086187184,0,0.34150795559529157,1,8.55152412565417,0,0.9718434343434345,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.2803165301470054,3.3698932344568373,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6920693743905618,0.6467564637006413,1,1.2236181792097989,0,571.4588887930863,1,0.3397608090188444,1,0.18895753542725782,0,16.34645785315063,1,0.9696969696969697,1
29,0.6931471805599453,1.0986122886681096,2.9114807211064,33.8972848599999,35.47233568,5.190530959582707,-1.5553900411763233,0.3700718766308788,0.3700718766308788,0.5609215596202645,2.6501439599188368,4.200378797984026,0.07129749914074893,0.5379257245966762,0,1.5325749556944441,1,126.04987380379164,0,0.00037486955592402893,1,0.25797379920611924,0,9.55818316250029,0,0.9683080808080807,1
1167,2.5649493574615367,2.639057329615259,6.3676432991910925,33.88215428,35.52400982,5.403348883157606,2.2605583165504184,1.9511011720645293,1.9511011720645293,1.178462364153316,2.4128476587961862,2.4825610223716006,0.36109109632845804,0.5484663034076056,0,1.364649646578,1,136.76746910511363,0,0.02467622047504836,1,0.20108229883507805,0,11.3008879735891,1,0.9669191919191918,1
139,1.3862943611198906,1.9459101490553128,5.746203190540153,33.8960800199999,35.47430511,4.986975232371374,-0.8150443270305894,2.6346445100406455,2.6346445100406455,1.1522421754253942,2.9529642945383583,4.145009423466309,0.5283051122730034,0.5977871470929307,1,1.2226933868048417,0,378.4571401371168,1,3.246264224499029e-05,0,0.18487714570569722,0,11.788977094372878,1,0.9592171717171717,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5207385542873046,1.5207385542873046,0.876176017356294,7.088046166153979,2.3626820553846595,0.2712026441009752,0.6275042633833822,1,1.5148854610761902,1,276.1891817046918,1,0.7530199959014889,1,0.07403126321933526,0,19.034642260995078,1,0.9553030303030304,1
91,2.70805020110221,3.4339872044851463,2.305779983890565,33.8988567199999,35.48223799,5.757741173117037,1.77209775307598,-1.945666585761657,2.7426749135205277,0.40046607073209184,0.67145852520329,0.8514539290859836,-0.33792185637763605,0.534628779337774,0,1.284038547580184,0,130.7291536376456,0,0.06690786821598405,1,0.2252301243769381,0,6.853697688269603,0,0.9549242424242425,1
1088,1.6094379124341005,0.6931471805599453,2.2315186445601856,33.87874251,35.5098849099999,6.140279675609468,-0.8150443270305894,-1.234711320421935,1.234711320421935,0.36342296482426767,3.2194008821582414,1.3865204909863564,-0.20108388960302218,0.5649379554766405,1,2.103211820951249,1,49.0874566199646,0,0.2813700079341257,1,0.43614839619482215,1,9.563280041340327,1,0.9545454545454546,1
54,2.4849066497880004,2.4849066497880004,1.8492419046414168,33.90067363,35.4873119399999,6.027595689943101,1.77209775307598,-1.945666585761657,2.858993042053763,0.30679594315306064,0.7441896880911743,0.7441896880911743,-0.32279314769037265,0.5463152069632745,0,1.2544556452420654,0,127.04559385374488,0,-0.00010679911159394706,0,0.2252301243769381,0,8.148991790952667,0,0.9530303030303031,1
1166,2.4849066497880004,2.3978952727983707,6.05924468352894,33.88209543,35.5242244399999,5.407825109311323,2.2605583165504184,1.7759088584772682,1.7759088584772682,1.1204586984693692,2.5269013005967245,2.4384194408453466,0.32839613385785454,0.5346441885742085,0,1.3769907940418211,1,112.9226394368008,0,-0.05487818529733657,0,0.20108229883507805,0,8.962937572385602,0,0.9522727272727273,1
34,1.791759469228055,2.3978952727983707,1.9518922207328608,33.9016950199999,35.4935423399999,6.521400854570621,0.8457654036941855,-1.945666585761657,2.8115897575781514,0.29930566518769475,0.8140022806146078,1.0893717902737223,-0.29835101830889715,0.5315612652408707,0,1.2257144137358043,0,114.62579467761563,0,-3.067105374210399e-05,0,0.2252301243769381,0,6.757769877234139,0,0.9424242424242424,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.2803165301470054,3.3430733766352057,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6366480255015735,0.6898743932619256,1,1.118255899061761,0,535.1801004811329,1,0.587115046560994,1,0.1235533453663957,0,17.289128298902984,1,0.938131313131313,1
182,1.0986122886681096,0.6931471805599453,2.497905135573657,33.89132871,35.48902154,5.040358521790062,-0.8150443270305894,0.00260719377358809,0.00260719377358809,0.4955808450480099,3.603715351703189,2.273691238791771,0.000517263556216663,0.5419969489645082,0,1.3669543395202473,1,62.61187668916368,0,0.00023593201130545083,1,0.1455617805913064,0,8.569727198187106,0,0.936111111111111,1
1159,2.4849066497880004,2.3978952727983707,5.971289900621244,33.88286884,35.52352312,5.272083664404303,0.8457654036941855,1.8822234959850688,1.8822234959850688,1.1326242678844027,2.4902213071435275,2.4030238323563116,0.35701700044962065,0.5242056931418171,0,1.2880951967137881,0,123.1338943961949,0,-0.1884940957105119,0,0.20108229883507805,0,9.525134068974962,0,0.9357323232323232,1
