fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.7418885957335956,1,2.3707755011593523,1,0.3960585337583193,1,11565.500422759176,1,0.8731231507237532,1,0.9982954545454545,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.7362974820695041,1,2.354443146598297,1,0.40219290684126185,1,11140.743440119759,1,0.871854658949293,1,0.9979545454545453,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7295807866676353,1,2.0360500454790214,1,0.4562336435596469,1,10991.547519907357,1,0.8423685477325144,1,0.997159090909091,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.701377399275375,1,2.398644733772329,1,0.7081082908064913,1,3079.8677019235643,1,0.7870089385306557,1,0.9969318181818183,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.290718847155145,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.6716481890982371,1,1.5556209631413183,1,0.5987634756626579,1,1938.466636733965,1,0.7550127808618593,1,0.9921590909090909,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6431371751364057,1,1.430105269896878,1,0.6762786880414484,1,3040.9185516782322,1,0.7478430274127632,1,0.99,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.290718847155145,3.290718847155145,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244459,0.6862426271830893,1,1.5134404118962466,1,0.24744274902020155,1,3473.116582168236,1,0.7714519714812986,1,0.9887499999999999,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.1723212298827212,1.1723212298827212,0.5843854734643307,4.570402210259986,4.570402210259986,0.2162550009811852,0.5669402127639447,1,2.135700477841707,1,2.257969329531029,1,1245.0040941089756,1,0.788543343423175,1,0.9864772727272728,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.5639773647105026,0,1.5503488125288403,1,0.9507580351989724,1,2808.7481890784884,1,0.7159136243601941,1,0.9854545454545456,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.0261758895281368,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3428700918881124,0.6657670589754221,1,1.5799623472333924,1,0.25419566961079587,1,1690.7648074005078,1,0.6857412950477896,1,0.9851136363636364,1
