fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.7451971747454207,1,2.0926138280468125,1,1109.026626099215,1,5.036887758688199,1,0.8566241359066477,1,13.495047182900482,1,0.999337121212121,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.7536686690635573,1,2.052200790486535,1,1115.5017030782246,1,4.901883633044337,1,0.8486564975508545,1,16.510378470844042,1,0.9992424242424242,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.7406584396082465,1,2.137293962926573,1,937.1523367740365,1,5.248714943716134,1,0.8740815435785987,1,12.666059124528807,1,0.9992424242424242,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155145,4.465139959549508,1.4633464844662087,8.885696373339394,8.885696373339394,0.7818456368363298,0.7393940564776169,1,1.6791091384991819,1,953.1817269795754,1,4.345087534029153,1,0.8310218618405302,1,11.012517963540887,1,0.996780303030303,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.7316402231823995,1,2.063114218465003,1,308.6864246968206,1,5.491555315666334,1,0.8348329940346365,1,5.982295764129287,1,0.996685606060606,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.7331729958749602,1,1.5864143540801707,1,847.1504363272171,1,4.368145465812953,1,0.8469968632412004,1,9.010547022330503,1,0.9961174242424242,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7093929719769291,1,1.424878026151085,1,895.7672924360907,1,4.495499552398023,1,0.8256671254441376,1,4.645011192465056,1,0.9943181818181817,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.7032775802832415,1,1.4766861129955817,1,349.28773961749505,1,3.5784429591237705,1,0.8036760666116187,1,0.6574872704180041,1,0.9927083333333333,1
1729,0.6931471805599453,0.6931471805599453,4.859789148277298,33.89609087,35.5165647299999,5.446970821768159,-0.0156274398299077,2.2180139892368933,2.2180139892368933,0.8922003269883033,7.011193703985658,7.011193703985658,0.40720137151696667,0.6581276494726624,1,1.6130477354326143,1,333.1861382079589,1,2.6466624774280927,1,0.7494968180727576,1,0.7474936534706327,1,0.9915719696969698,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.6859098575798492,1,1.3593994744406817,1,789.9801969383602,1,3.116059935429047,1,0.8019515134061626,1,1.189532909997805,1,0.9902462121212121,1
