fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.6937752751983163,1,2.416593324784902,1,0.6683404814178906,1,9775.534463097041,1,0.0002041662504878028,1,0.8053281207563496,1,0.992887624466572,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.7241812466379215,1,3.210167811149809,1,0.9867530467820025,1,26810.377540026566,1,-0.00010178363290569425,0,0.8959215605363101,1,0.9902797534376483,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6101698565776614,1,1.9391292869552277,1,2.1034107940380857,1,1940.6729296033507,0,-4.385229377956712e-05,0,0.7745261151437101,1,0.9853010905642484,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,2.1185925765273197,3.9157917378587923,1.5461992827517541,3.873657180281966,3.873657180281966,0.5254331911044049,0.6709294234472526,1,1.6760710073831475,1,0.7917906086457307,1,7222.4762219391105,1,-0.00012264024866781575,0,0.7565472977639539,1,0.9850640113798009,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,2.1185925765273197,4.4633600878687005,1.4633464844662087,8.885696373339394,8.885696373339394,0.5033588219253996,0.7299146238045784,1,2.5421065558229765,1,0.5884469987305617,0,20605.022551764738,1,-0.00029575493987477053,0,0.8757574772336782,1,0.9845898530109057,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,2.1185925765273197,3.4927470185424085,1.3526164861885424,3.322941055308622,4.664337463663974,0.4431764782167604,0.6585019193125579,1,1.4628435902448003,0,0.6457766174394605,1,4383.884167516402,1,-3.880623350815959e-05,0,0.7085225633276295,1,0.9831673779042202,1
1750,1.0986122886681098,0.6931471805599453,4.959426206689514,35.5086712,33.88883598,5.715133645007413,-1.1924218391670918,2.1185925765273197,2.1908751641109925,0.8677708195016465,7.154939594045725,4.514264274889933,0.3706986937003766,0.6217334132975401,1,1.3242402765263634,0,0.7685312128919486,1,2964.1196843988478,1,7.655365559511296e-05,0,0.7184964056581171,1,0.979611190137506,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,2.1185925765273197,3.2977828495606873,1.2668268875428923,4.892789260714372,4.892789260714372,0.49930251721601215,0.6466250779996414,1,1.346092101689218,0,0.31253787546055656,0,4150.841148497702,1,-0.00022631328777356075,0,0.7169063590671723,1,0.9691797060218112,1
1002,1.0986122886681098,0.6931471805599453,4.820386398819521,35.5139740899999,33.8947290899999,6.07251836443936,-1.1924218391670918,1.9835180793974398,1.9835180793974398,0.7938035110849037,6.954347552745531,4.387704787704005,0.3266384653544916,0.6120993857987409,1,1.2809770668527922,0,0.7676593905365956,1,2860.9075553626517,1,-0.0050166608151615,0,0.7008398949702327,1,0.9660976766239925,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,35.52780458,33.9012114,6.399216420106812,-1.9043027771337224,-1.9423846596717498,2.0955341854907514,0.14505202540468784,1.3391373849195853,1.3391373849195853,-0.30353476615803043,0.6218765175370876,1,1.6978033304839801,1,0.41302455860973003,0,331.8684380942389,0,-0.00021219712732056806,0,0.5479221323822655,0,0.959696538643907,1
