fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.7316402231823995,1,2.0198739657460756,1,0.09499723526262563,1,310.41004279560275,1,0.6070938387760461,1,0.8592671907372508,1,5.982295764129287,1,0.996103896103896,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.942311872843169,-1.9043027771337224,3.290718847155145,3.290718847155145,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244459,0.6733324613365541,1,1.6278742177471723,1,0.014324810637507242,1,429.4076256841166,1,0.09995287059796709,1,0.8645833029270381,1,0.024798881848425935,1,0.9938311688311688,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.6859098575798492,1,1.72226517231937,1,0.006263202191198792,1,719.9355572847671,1,0.00035999862325097887,1,0.8624275749786126,1,1.189532909997805,1,0.9922889610389609,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.7451971747454207,1,2.5177869700852247,1,0.004020973613010787,0,1035.6547609469155,1,0.0002608910190800007,1,0.9241752917692675,1,13.495047182900482,1,0.9913961038961039,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.7032775802832415,1,1.8434169365992108,1,0.004201179894677659,0,312.7648504949426,1,0.16085957891738611,1,0.8512777344928774,1,0.6574872704180041,1,0.9894480519480519,1
30,1.0986122886681096,1.0986122886681096,5.036296543097928,33.89229959,35.53154628,3.980881148967695,-0.0156274398299077,3.06157080835057,3.06157080835057,1.265121051002469,4.584234670452873,4.584234670452873,0.769068629226593,0.6404875487666437,1,1.8660580461477339,1,0.006763211066323166,1,315.15722256517614,1,-0.00011707092444956935,0,0.8378017663556862,1,-2.176409032885074,1,0.9871753246753247,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.7331729958749602,1,1.957930224965045,1,0.0033272985529918734,0,783.3537357001194,1,0.0001124161060734874,1,0.879573521925367,1,9.010547022330503,1,0.9864448051948053,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6734194541833571,1,1.395677073553092,0,0.01331354785258395,1,235.0535892651875,1,0.000286738705134848,1,0.7868563566123273,1,1.5481966366059936,1,0.986038961038961,1
272,1.6094379124341005,1.3862943611198906,6.678342114654332,33.8867163099999,35.51788674,4.823764024172099,0.4071381378692232,3.290718847155145,3.740604751599713,1.3844670015342497,4.817405525085859,4.149487260775449,0.6821890189207442,0.6377688879186444,1,1.6245401078449966,1,0.008238690764398328,1,400.8062674679834,1,-9.333010187817514e-05,0,0.8217809268740975,1,-3.668402555714348,1,0.9858766233766233,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,3.290718847155145,3.8769603129053696,1.5461992827517541,3.873657180281966,3.873657180281966,0.8161328063002584,0.6800972676935407,1,2.0502688477207274,1,0.003020996803467909,0,404.10622532052935,1,0.036678117942195776,1,0.8674874217736016,1,-1.0178492066081937,1,0.9849025974025974,1
