fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.6793665529997533,1,1.7823490600206047,1,0.5396471787796079,1,892.042935198844,1,4.84504204444629,1,0.8815299286575511,1,0.9975378787878788,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.6135086176188415,1,2.344401991991991,1,1.5217032872537857,1,387.862046638101,1,5.988977686193577,1,0.7997880752297022,1,0.9960227272727273,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.709001665268985,1,1.8689579414956607,1,0.3260953532418272,1,770.3475493470569,1,5.360705621230261,1,0.8755673629298188,1,0.9947916666666666,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.6545278539054954,1,1.8525975713374248,1,0.2803453611637821,1,885.1283298310598,1,5.132122406448268,1,0.8814222587498178,1,0.9926136363636363,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6416460419474164,1,1.4645841496641652,1,1.550429078903213,1,220.03673618169128,1,4.0839153229388,1,0.7545753802962024,1,0.9924242424242423,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.631820723078951,1,1.534627699919773,1,1.2118516792090606,1,213.28953154945765,1,4.185709276586275,1,0.7351424911969394,1,0.9919507575757575,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155145,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.6712825761085087,1,1.383442775488989,1,0.483689532802579,1,357.3670465776786,1,4.007071322737405,1,0.775237297005917,1,0.990625,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7073182087287503,1,1.439593585277497,1,0.21454408805964298,0,852.9651123870983,1,6.249429548910798,1,0.8495848982993327,1,0.9855113636363636,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,33.89475491,35.4784065899999,5.909456489396374,0.4071381378692232,-2.0261758895281368,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3428700918881124,0.5695824201963036,1,1.492455121780944,1,0.4140842048950522,1,257.8224285023534,1,2.6471852135734,1,0.7000889485227846,1,0.9853219696969697,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6587789790550268,1,1.3522615001274005,1,0.23372110178261382,1,407.24644758841407,1,3.5643946250242875,1,0.7593625839946679,1,0.9816287878787877,1
