fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.3025925193207013,4.701007369116455,1.3973382018991465,9.949826710759112,9.949826710759112,0.669137773932246,0.7229231543242876,1,1.8399742799135896,1,23945.322218509114,1,1.5482190251710786,1,0.8725142215637581,1,75.01866475329169,1,0.9986742424242424,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.0376193955333073,4.894955478240147,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.3303367390068386,0.6897835391517364,1,2.2648728639100595,1,25560.577344258996,1,2.8036979174720082,1,0.784108670545371,1,127.24612027310972,1,0.9981060606060606,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.3025925193207013,4.046564561611313,1.1920739609994475,9.843921051289035,9.843921051289035,0.5769851176509914,0.7106566028025071,1,1.8386092637956803,1,17085.35457077503,1,1.833223711970223,1,0.865784310104261,1,59.37070920403343,1,0.9976325757575757,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.3025925193207013,4.715145604529209,1.433151154474292,9.90388184573618,9.90388184573618,0.6894711193758847,0.7188252453119603,1,1.8235042069882212,1,23642.994280026356,1,1.300316471952831,1,0.8713073971759865,1,44.57154513253654,1,0.9973484848484847,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.3025925193207013,4.9804637753591,1.625279018247219,6.270248868157708,9.93810932621924,0.7792085165655398,0.7134065958797077,1,1.4738337420458463,1,26142.839127555195,1,2.8020829832445777,1,0.8414862634615025,1,56.10576431022527,1,0.9964015151515152,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.3025925193207013,4.451157700077411,1.4633464844662087,8.885696373339394,8.885696373339394,0.7846667161223619,0.7234170064204964,1,1.5826697417651414,1,16820.888275325535,1,1.108692724772121,1,0.8437178064071756,1,39.89208262646676,1,0.9959280303030303,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.3025925193207013,4.236412236067586,1.393165100563557,8.581200581924957,8.581200581924957,0.7735422955092066,0.7174551683387944,1,1.503402653670295,1,13317.19162123018,1,1.1364114301132253,1,0.8261382708857817,1,24.48308879920005,1,0.9940340909090909,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.0376193955333073,3.674144348891806,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3448065654074122,0.6277440582481132,1,1.4700184930216023,1,15931.621075516183,1,1.0527114294312114,1,0.6804650467495976,1,62.12434253717946,1,0.990340909090909,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.3025925193207013,3.376024797255179,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6409713779564942,0.6731979917064066,1,1.3713295025164296,1,2011.074198330307,1,1.4546556021897614,1,0.7537311284140533,1,23.555110105138827,1,0.9869318181818181,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.3025925193207013,4.886957477235058,1.663933770214046,6.273028226734327,6.273028226734327,0.7973873370730259,0.6953101653637318,1,1.2789097254140889,0,16558.921193449914,1,1.0934095711947842,1,0.7851651832624791,1,59.7011285825933,1,0.9863636363636363,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,3.3025925193207013,3.9246969416383646,1.5461992827517541,3.873657180281966,3.873657180281966,0.819077601597475,0.6878852891201197,1,1.2863914137915569,0,3758.1747636562063,1,0.8368371710197238,1,0.7513659487796226,1,30.308291135128822,1,0.983712121212121,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.9459242767629048,1.9459242767629048,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3624509425716219,0.6287838476560732,1,1.426859853855789,1,4349.025801052607,1,1.3115703361044408,1,0.745553439102391,1,6.43013720690708,0,0.9832386363636364,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.3025925193207013,3.343023063858977,1.1328145166338148,6.442943495848729,6.442943495848729,0.8377298970359982,0.6907947342458438,1,1.2428958789636944,0,6601.859625499115,1,1.1441727398131154,1,0.7691347055560425,1,27.415349674074957,1,0.981155303030303,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,35.52780458,33.9012114,6.521400854570621,-1.9043027771337224,-2.0376193955333073,2.3169804845935014,0.1423343424885272,1.3391373849195853,1.3391373849195853,-0.31245118050138126,0.6269225675920955,1,1.6207263653250277,1,830.4201135901732,0,1.1251852707876768,1,0.6010125170295086,1,46.256972341176294,1,0.9810606060606061,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.53913024438202,1.53913024438202,0.876176017356294,7.088046166153979,2.3626820553846595,0.27448254712514103,0.5585789085490255,0,1.4795806141777208,1,3355.234377140411,1,1.9484930943154724,1,0.7155250509054725,1,8.313839766501719,1,0.9809659090909091,1
809,1.0986122886681098,1.0986122886681098,6.652863029353347,35.5297230899999,33.88929386,4.185969496520373,-1.1924218391670918,3.3025925193207013,4.618525882919033,1.589324297485589,6.055696898692869,6.055696898692869,0.788967172853508,0.6901947070010203,1,1.2391571451375887,0,12023.654616400956,1,0.5810194921265972,1,0.7874397447101698,1,37.5309327244469,1,0.9803030303030305,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.2676860303901591,1.2676860303901591,0.5843854734643307,4.570402210259985,4.570402210259985,0.23384669385649862,0.5544519080857462,0,2.088625266649719,1,1744.1308550958015,1,2.934165419026111,1,0.7859015250577203,1,5.99069060656924,0,0.9784090909090909,1
1367,1.0986122886681098,1.6094379124341005,4.535980866635092,35.5342097799999,33.8975098499999,4.082153587157697,-0.0156274398299077,2.2606352955678584,2.2606352955678584,1.1111734945263008,2.818363374934366,4.128827716040058,0.5537849684734384,0.6207407031352559,1,1.3974421768392653,1,1155.059888897501,0,0.2816553715166892,1,0.6800988657887275,1,14.39388888202588,1,0.977651515151515,1
499,0.6931471805599453,1.0986122886681098,4.095027662189515,35.4817636699999,33.89872435,5.368162831559142,-0.0156274398299077,1.325596772686624,1.325596772686624,0.7628359628204767,3.7274548122468896,5.907876100543938,0.24693676668925008,0.5629967868842414,1,1.3545639561055531,1,2754.188181400249,1,0.42443771066607106,1,0.6883704948905769,1,10.228796422650557,1,0.9756628787878787,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.3025925193207013,3.3847066944236794,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6967690824064464,0.6674559149641265,1,1.3288728965108079,0,688.3519894109318,0,0.9666284550497419,1,0.7361408954406479,1,13.699203045690965,1,0.974810606060606,1
364,0.6931471805599453,0.6931471805599453,4.635126967277885,35.5259145899999,33.8943381599999,5.364744859928628,-0.8150443270305894,2.0896937562576117,2.0896937562576117,0.8639976528799079,6.687074689582506,6.687074689582506,0.38952341832066417,0.6078470136044356,1,1.3235460614018657,0,4822.302796221756,1,0.032578636127266414,1,0.7132745031344091,1,4.351308789258523,0,0.9724431818181819,1
1729,0.6931471805599453,0.6931471805599453,4.859789148277298,35.5165647299999,33.89609087,5.446970821768159,-0.0156274398299077,2.2366774764460637,2.2366774764460637,0.8922003269883033,7.011193703985658,7.011193703985658,0.4106277690174974,0.6296108572734131,1,1.3862906863148843,1,5554.310708299747,1,0.7404151734803897,1,0.7454363277178029,1,1.5772256894079995,0,0.9721590909090909,1
272,1.6094379124341005,1.3862943611198906,6.678342114654332,35.51788674,33.8867163099999,4.823764024172099,0.4071381378692232,3.3025925193207013,3.762799277687213,1.3844670015342497,4.817405525085859,4.149487260775449,0.6846505141568413,0.6618031005150067,1,1.242442854540641,0,1739.5524300041393,1,0.00018282726307639052,1,0.7316151421701151,1,16.80795239365876,1,0.9696969696969696,1
621,1.0986122886681098,1.0986122886681098,6.261491684321042,35.4876042,33.8905660499999,4.85297321985314,-0.0156274398299077,3.3025925193207013,3.6945344692894944,1.2902382520278006,5.699455348266758,5.699455348266758,0.6805297226471495,0.6729087413944036,1,1.2031774524713705,0,2415.7215775169325,1,0.4011105147155334,1,0.7612727145332644,1,13.212123829326885,1,0.9688446969696969,1
924,1.3862943611198906,1.3862943611198906,6.731018100482083,35.5124546099999,33.89418623,5.577777502593477,-1.9043027771337224,3.3025925193207013,3.520958376690682,1.2067562926904825,4.855403216849676,4.855403216849676,0.5920982896476433,0.6599982727733116,1,1.2696120681945668,0,1170.7560413045376,1,2.3218538395930466e-05,0,0.7270174082854194,1,16.203321217131677,1,0.968655303030303,1
91,2.70805020110221,3.4339872044851463,2.305779983890565,35.48223799,33.8988567199999,5.757741173117037,1.77209775307598,-2.0376193955333073,2.7526700216809097,0.40046607073209184,0.67145852520329,0.8514539290859836,-0.35389214872092145,0.6168192293554006,1,1.2172078620213456,0,3140.068514334823,1,0.2627210278002412,1,0.5658182074322539,1,23.116134617405205,1,0.9681818181818181,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,3.3025925193207013,3.511158103193207,1.3526164861885424,3.322941055308622,4.664337463663974,0.6908507741949472,0.6674536571717629,1,1.291524534211573,0,969.3395873246814,0,0.00018987528028802103,1,0.6860937107633122,1,9.768771181536032,1,0.9676136363636364,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,35.52780327,33.8862673599999,5.0400698160457456,2.2605583165504184,2.7950069501461163,2.7950069501461163,1.3176766219780305,3.022532261036308,3.022532261036308,0.5545571891182604,0.6670578853628637,1,1.35555285051283,1,288.46515679153333,0,0.6451351158914784,1,0.7198692176404443,1,10.06510413847042,1,0.9665719696969698,1
1537,1.6094379124341005,1.6094379124341005,6.624564439162538,35.4744579799999,33.89929439,6.521400854570621,1.300626634375449,1.9984234853793499,1.9984234853793499,1.0158192368315486,4.116073312292986,4.116073312292986,0.3064408291937345,0.6465818911381107,1,1.2632635335197473,0,1083.1685504847565,0,0.5740975286042782,1,0.6507226534909105,1,6.423489890270059,0,0.9656249999999998,1
