fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.7380121616368839,1,1.9793613033929702,1,0.07250582720330512,1,310.41004279560275,1,0.858444632823086,1,5.982295764129287,1,0.9957386363636364,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.7388109015188947,1,1.7998301985878482,1,0.004287008708266498,1,783.3537357001194,1,0.8912365145724217,1,9.010547022330503,1,0.9928977272727272,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.942311872843169,-1.9043027771337224,3.290718847155145,3.290718847155145,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244459,0.6664396075526311,1,1.498833235681871,1,0.01726368321456457,1,429.4076256841166,1,0.86071009661019,1,0.024798881848425935,1,0.9927083333333334,1
30,1.0986122886681096,1.0986122886681096,5.036296543097928,33.89229959,35.53154628,3.980881148967695,-0.0156274398299077,3.06157080835057,3.06157080835057,1.265121051002469,4.584234670452873,4.584234670452873,0.769068629226593,0.6478931879028579,1,1.6269458795330705,1,0.007622539901964301,1,315.15722256517614,1,0.8446248713646458,1,-2.176409032885074,1,0.9901515151515149,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6973510515498933,1,1.6532991219611273,1,0.004461814500244137,1,312.7648504949426,1,0.8507781927196584,1,0.6574872704180041,1,0.9898674242424241,1
1517,1.0986122886681096,1.0986122886681096,5.375278407684165,33.8892338,35.5291301899999,4.243104137227407,-1.1924218391670918,3.290718847155145,3.3098929129257,1.2668268875428923,4.892789260714373,4.892789260714373,0.7755451529656343,0.6371538150992788,1,1.594872117070814,1,0.010578152665633077,1,342.5488206456897,1,0.8434761067181898,1,-4.064866687611184,1,0.9890151515151514,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.7509384491428712,1,2.5055564110091444,1,0.00238791721764073,1,1035.6547609469155,1,0.920379274424626,1,13.495047182900482,1,0.9882575757575757,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.682252607664237,1,1.5708916376500073,1,0.0029697970798453393,1,719.9355572847671,1,0.8882836568644604,1,1.189532909997805,1,0.9871212121212122,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6634854443666985,1,1.3589793137573283,1,0.015590317097400053,1,235.0535892651875,1,0.802137932642224,1,1.5481966366059936,1,0.9860795454545453,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,3.290718847155145,3.8769603129053696,1.5461992827517541,3.873657180281966,3.873657180281966,0.8161328063002584,0.6808938033532348,1,1.7271006558369295,1,0.00234249232988525,1,404.10622532052935,1,0.8747195657381321,1,-1.0178492066081937,1,0.9828598484848484,1
