fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.0376193955333073,4.894955478240147,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.3303367390068386,0.6947405422399221,1,2.3822589367318967,1,0.7980640584128873,1,25609.85391539537,1,0.9984375,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.3025925193207013,4.9804637753591,1.625279018247219,6.270248868157708,9.93810932621924,0.7792085165655398,0.7341320350175611,1,2.0357358493375335,1,0.62997471554387,1,26322.01585517393,1,0.9980113636363637,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.3025925193207013,4.701007369116455,1.3973382018991465,9.949826710759112,9.949826710759112,0.669137773932246,0.7443442578374301,1,2.3761534993894555,1,0.3993971987521142,1,24037.84974697574,1,0.996875,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.3025925193207013,4.715145604529209,1.433151154474292,9.90388184573618,9.90388184573618,0.6894711193758847,0.7417241790007064,1,2.3601410385997776,1,0.4325467848553399,1,23728.101765766398,1,0.9967329545454544,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.3025925193207013,3.376024797255179,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6409713779564942,0.6768777570249871,1,1.5535115842614637,1,0.641449030863048,1,2066.9872581430204,1,0.9890625,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.9459242767629048,1.9459242767629048,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3624509425716219,0.6450981187083984,1,1.426497432970565,1,0.6454464789556649,1,4369.505975484432,1,0.9882102272727271,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.0376193955333073,3.674144348891806,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3448065654074122,0.6522006069747215,1,1.5671427733017096,1,0.2634046713462386,1,15958.813742645236,1,0.9865056818181819,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.53913024438202,1.53913024438202,0.876176017356294,7.088046166153979,2.3626820553846595,0.27448254712514103,0.5669163115362202,0,1.5539958085761492,1,1.0626337661906644,1,3374.07933241264,1,0.9845170454545454,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.2676860303901591,1.2676860303901591,0.5843854734643307,4.570402210259985,4.570402210259985,0.23384669385649862,0.5672412937851481,1,2.118904933429287,1,2.1711956110514468,1,1751.4742448250072,1,0.9825284090909091,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.3025925193207013,3.343023063858977,1.1328145166338148,6.442943495848729,6.442943495848729,0.8377298970359982,0.6933584592578892,1,1.5210852392107956,1,0.2158551407835555,0,6705.580673234861,1,0.9821022727272726,1
