fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,fused_rank,is_anomaly_fused
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.6860859815246372,1,1.8689579414956607,1,930.4714735391378,1,5.360705621230261,1,0.9988636363636363,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.65764278766751,1,1.7823490600206047,1,1089.20549065247,1,4.84504204444629,1,0.9980113636363636,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.6269032271704346,1,1.8525975713374248,1,1076.8115907732413,1,5.132122406448268,1,0.9974431818181817,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.6962429143343623,1,1.439593585277497,1,1036.5872096627884,1,6.249429548910798,1,0.9955965909090909,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155145,4.465139959549508,1.4633464844662087,8.885696373339394,8.885696373339394,0.7818456368363298,0.5987892157807813,1,1.5842305759714221,1,930.1940434210347,1,4.627397667501068,1,0.9946022727272726,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.5918421385477114,1,2.344401991991991,1,350.3086632955183,1,5.988977686193577,1,0.9943181818181818,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.578990367525546,1,1.5030973351241,1,839.438155992052,1,4.661026394632611,1,0.9920454545454545,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155145,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.6621191618105333,1,1.383442775488989,1,432.00717923491436,1,4.007071322737405,1,0.9901988636363636,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6074517143220769,1,1.4645841496641652,1,263.6102985671273,1,4.0839153229388,1,0.9900568181818181,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.5902808568215907,1,1.534627699919773,1,242.92955696558877,1,4.185709276586275,1,0.9899147727272728,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6581934892474671,1,1.3522615001274005,1,473.73952427536733,1,3.5643946250242875,1,0.9882102272727272,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,33.89475491,35.4784065899999,5.909456489396374,0.4071381378692232,-2.0261758895281368,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3428700918881124,0.5693542322545554,1,1.492455121780944,1,231.7946730978642,1,2.6471852135734,1,0.9855113636363636,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,33.8862673599999,35.52780327,5.0400698160457456,2.2605583165504184,2.815311320244378,2.815311320244378,1.3176766219780305,3.022532261036308,3.022532261036308,0.5585857781734397,0.616217402958629,1,1.3587997735976924,1,244.69269798975236,1,2.9300151526930174,1,0.9852272727272726,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,-0.033840267359483533,0.033840267359483533,0.4316169365496553,2.015642301593891,3.1947174628936,-0.006595904314682741,0.5665846525592922,1,1.8688959685962057,1,149.13598175754217,1,2.4521419180014385,1,0.9849431818181817,1
1729,0.6931471805599453,0.6931471805599453,4.859789148277298,33.89609087,35.5165647299999,5.446970821768159,-0.0156274398299077,2.2180139892368933,2.2180139892368933,0.8922003269883033,7.011193703985658,7.011193703985658,0.40720137151696667,0.5712752246746544,1,1.3748823437993185,1,319.5301391525202,1,3.5450258428981103,1,0.9840909090909091,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,3.290718847155145,3.8769603129053696,1.5461992827517541,3.873657180281966,3.873657180281966,0.8161328063002584,0.6701462275435904,1,1.2884063050442305,1,482.68606807115134,1,2.672050678287146,1,0.9823863636363636,1
1367,1.0986122886681096,1.6094379124341005,4.535980866635092,33.8975098499999,35.5342097799999,4.082153587157697,-0.0156274398299077,2.282404284663527,2.282404284663527,1.1111734945263008,2.818363374934366,4.128827716040059,0.5591176901927174,0.5717154010794641,1,1.406749554890658,1,185.22652465078417,1,1.8984902041381515,1,0.9822443181818181,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.1723212298827212,1.1723212298827212,0.5843854734643307,4.570402210259986,4.570402210259986,0.2162550009811852,0.5937177620644984,1,1.5445214046680595,1,104.00606226351096,1,4.029128557808852,1,0.9818181818181817,1
