fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,2.1622919076446516,4.687312583692167,1.433151154474292,9.90388184573618,9.90388184573618,0.45141440043224595,0.7469928955486337,1,3.1241572039221985,1,1.384496692339228,1,10105.094765337453,1,62.12515241977891,1,0.9991465149359886,1
10,2.639057329615259,3.367295829986474,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-1.9063889887732393,4.939673489606513,0.2133712655359028,0.390859659396772,0.4987159946951817,-0.3090618018312844,0.6906594870859485,1,2.46835049709115,1,1.852631093988434,1,2607.1542556025374,1,65.43939224520307,1,0.9980085348506403,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,2.1622919076446516,4.430684933254391,1.4633464844662087,8.885696373339394,8.885696373339394,0.5137413957500486,0.7453174669654623,1,2.682924092844422,1,0.7166951398228025,1,7609.362721405209,1,46.723915773244435,1,0.9945945945945945,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,2.1622919076446516,3.8616768094778835,1.5461992827517541,3.873657180281966,3.873657180281966,0.5362710837943454,0.6827739326493666,1,1.6011122459715204,1,1.1673211075422034,1,2219.4555462777753,1,38.05276378156329,1,0.993456614509246,1
1750,1.0986122886681096,0.6931471805599453,4.959426206689514,33.88883598,35.5086712,5.715133645007413,-1.1924218391670918,2.1622919076446516,2.2158888802796013,0.8677708195016465,7.154939594045725,4.514264274889934,0.3783449420353576,0.6222440780222694,1,1.4516272470855083,1,0.8580352839209422,1,1636.5008132161292,1,15.915391882856417,1,0.9854907539118066,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,33.9008645899999,35.5283341,4.780471619459692,-0.4228999466420856,2.1622919076446516,3.4791208927250628,1.3526164861885424,3.322941055308622,4.664337463663974,0.4523176957776903,0.6651890407918989,1,1.3925564257914504,1,0.7073483961548163,1,1232.7579474626189,1,20.876349047736063,1,0.981792318634424,1
1517,1.0986122886681096,1.0986122886681096,5.375278407684165,33.8892338,35.5291301899999,4.243104137227407,-1.1924218391670918,2.1622919076446516,3.297060654218067,1.2668268875428923,4.892789260714373,4.892789260714373,0.50960142332438,0.6662581289987318,1,1.3981803519958502,1,0.4377704299776007,1,1115.2950773753032,1,15.544357507448217,1,0.9778093883357041,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.780379798016999,1.780379798016999,0.5843854734643307,4.570402210259986,4.570402210259986,0.3284219590611401,0.6157694105949921,1,1.818545936993191,1,2.1470222462054016,1,906.8225625810578,1,2.4840665595873084,0,0.9735419630156473,1
1002,1.0986122886681096,0.6931471805599453,4.820386398819521,33.8947290899999,35.5139740899999,6.07251836443936,-1.1924218391670918,1.8712340714463185,1.8712340714463185,0.7938035110849037,6.954347552745531,4.387704787704006,0.308147947712148,0.6044489939624018,1,1.36308004185155,0,0.8856171619523129,1,1537.4167707235015,1,3.582035287131207,0,0.9698435277382647,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,33.9012114,35.52780458,6.399216420106812,-1.9043027771337224,-1.9063889887732393,2.0661643471351665,0.14505202540468784,1.3391373849195853,1.3391373849195853,-0.2979097538853701,0.6221259887585474,1,1.5518155367145205,1,0.33406338258076756,0,239.37248799968592,0,24.970171009970414,1,0.9647226173541963,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,0.25590775068444094,0.25590775068444094,0.4316169365496553,2.015642301593891,3.1947174628936,0.04987971929918052,0.5519382732788645,0,1.8196174208662597,1,0.656600347620742,1,419.21648631440627,0,4.729106730836035,0,0.9593172119487908,1
