fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.6697489258433639,1,1.7823490600206047,1,0.5396471787796088,1,892.0429351988444,1,0.881529928657551,1,0.9974999999999999,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.596433235681437,1,2.344401991991991,1,1.5217032872537868,1,387.86204663810145,1,0.7997880752297019,1,0.9951136363636364,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.6957321825488226,1,1.8689579414956607,1,0.3260953532418295,0,770.347549347057,1,0.8755673629298187,1,0.9938636363636363,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.6530532513126195,1,1.8525975713374248,1,0.2803453611637808,0,885.12832983106,1,0.8814222587498177,1,0.9915909090909091,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6384615372441255,1,1.4645841496641656,1,1.5504290789032102,1,220.03673618169128,1,0.7545753802962022,1,0.9914772727272727,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.6278434043129036,1,1.5346276999197734,1,1.2118516792090674,1,213.2895315494578,1,0.7351424911969392,1,0.9911363636363637,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.290718847155145,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.6890912649169497,1,1.3834427754889893,0,0.4836895328025778,1,357.3670465776791,1,0.7752372970059169,1,0.990340909090909,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.0261758895281368,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3428700918881124,0.5850597456100448,1,1.492455121780944,1,0.4140842048950519,1,257.82242850235355,1,0.7000889485227842,1,0.9851136363636364,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7147788562702112,1,1.439593585277497,1,0.21454408805963993,0,852.9651123870988,1,0.8495848982993326,1,0.9827272727272728,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6595021729124361,1,1.3522615001274003,0,0.2337211017826147,0,407.2464475884146,1,0.7593625839946678,1,0.9796590909090908,1
