fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.2803165301470054,4.433148803096777,1.4633464844662087,8.885696373339394,8.885696373339394,0.7793741384970434,0.7414946662214605,1,2.3572493309909284,1,6389.7229111111055,1,0.00015875381830321444,1,0.41784683267153716,1,0.9953030303030304,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.2803165301470054,4.180754186288713,1.393165100563557,8.581200581924957,8.581200581924957,0.7683247521097857,0.7249381892091067,1,2.2261957931755423,1,5621.1592996244435,1,8.933914765618667e-05,0,0.41784683267153716,1,0.9936363636363635,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.2803165301470054,4.674507899770349,1.3973382018991465,9.949826710759112,9.949826710759112,0.6646244391140312,0.7489626147491327,1,2.6761903167379546,1,9730.4717459747,1,-0.00017830547542274644,0,0.41784683267153716,1,0.9904545454545455,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.2803165301470054,4.686812461594567,1.433151154474292,9.90388184573618,9.90388184573618,0.6848206361264548,0.738112166269081,1,2.684947048256741,1,9405.64159934456,1,-0.0002996141853697232,0,0.41784683267153716,1,0.9883333333333335,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.2803165301470054,4.865865512865672,1.663933770214046,6.273028226734328,6.273028226734328,0.7920089588492617,0.7056347069690067,1,1.9218257261456702,1,2835.335861422609,1,0.0008326861731657864,1,0.20984256623253186,0,0.9854545454545456,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.113986173675408,1.113986173675408,0.5843854734643307,4.570402210259986,4.570402210259986,0.20549408723520446,0.5688699273340753,0,2.065818629286577,1,1034.7558622741608,0,0.31043466753122084,1,0.40634990170863533,1,0.9851515151515151,1
1750,1.0986122886681096,0.6931471805599453,4.959426206689514,33.88883598,35.5086712,5.715133645007413,-1.1924218391670918,2.030428953994991,2.030428953994991,0.8677708195016465,7.154939594045725,4.514264274889934,0.355272348839772,0.5981532099854683,0,1.433769142707268,0,1985.2809587066777,1,1.5264983354246198e-05,0,0.3381534615197905,1,0.9765151515151516,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.9496196641514683,1.9496196641514683,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.36313925128853675,0.6400305566128639,1,1.538827257741625,1,2507.3410737179556,1,5.724218834601835e-05,0,0.2146920968124125,0,0.9759090909090908,1
1523,0.6931471805599453,0.6931471805599453,4.026600910135581,33.90176529,35.5318141099999,5.481288821096019,-1.9043027771337224,1.4828774990071394,1.4828774990071394,0.7346084181220789,5.80915716469159,5.80915716469159,0.2705344577537931,0.5986099436150296,0,1.424133320179104,0,1806.9252233267011,1,0.00010551856631724199,1,0.21987432222923556,0,0.9713636363636364,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.9439513559839816,-1.9043027771337224,3.24864415801808,3.24864415801808,1.1323436106479001,6.442943495848729,6.442943495848729,0.8237028971184082,0.6972393185839968,1,1.6552430205995092,1,3124.0295739273183,1,-0.00014553221039248498,0,0.15596065698618622,0,0.9686363636363635,1
