fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.7924645653903286,1,3.643057128264106,1,0.09584027091119658,1,591.0780734755555,1,1.5471873656030855,1,0.9988620199146515,1
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.7229659077956923,1,2.0781828206920556,1,0.07413913344056268,1,111.77665169731111,1,1.4311903555528955,1,0.9951635846372688,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6456834758750389,1,1.6628263672289871,1,0.10876321757990959,1,52.53365508719608,1,0.7979177571148424,1,0.9891891891891893,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,0.4072081111227632,0.4072081111227632,0.4316169365496553,2.0156423015938905,3.1947174628936,0.07937010983383186,0.5945435089014154,1,2.0785716795876574,1,0.22406340881654888,1,59.82528665659416,1,0.5726235243738014,1,0.9889046941678521,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,2.1185925765273197,4.4633600878687005,1.4633464844662087,8.885696373339394,8.885696373339394,0.5033588219253996,0.7735474031683066,1,2.975880405567346,1,0.017497128574744815,0,422.0031381292813,1,1.5184731944834458,1,0.9871977240398294,1
29,0.6931471805599453,1.0986122886681098,2.9114807211064,35.47233568,33.8972848599999,5.190530959582707,-1.5553900411763233,0.49032685350199623,0.49032685350199623,0.5609215596202645,2.6501439599188363,4.200378797984026,0.09446564471342948,0.5776623679394184,1,1.8929486914763825,1,0.11350931892229704,1,43.715506522187326,1,0.00037384467598089444,1,0.9789473684210526,1
53,0.6931471805599453,0.6931471805599453,3.54214702423921,35.4875081799999,33.89984254,5.136134634482512,-0.0156274398299077,1.1003681124343223,1.1003681124343223,0.689652292301348,5.110237945969508,5.110237945969508,0.21424051173557082,0.6152065052532465,1,1.2147092086631377,0,0.04055934585906772,1,74.2331172527294,1,0.08464932111817491,1,0.9669985775248934,1
72,1.0986122886681098,1.0986122886681098,1.956850089093648,35.4839076399999,33.90154966,4.1066311958181485,-0.8150443270305894,-0.0709300347103563,0.0709300347103563,0.47650981931037323,1.78120171172126,1.78120171172126,-0.017272073222106128,0.5370746673015012,0,1.6859848582453327,1,0.10653448920230434,1,30.54079983129275,0,0.0003757870426830401,1,0.9613086770981507,1
1548,1.9459101490553128,1.9459101490553128,5.34461872191488,35.47386565,33.89894617,6.399216420106812,1.300626634375449,0.8473436922234878,0.8473436922234878,0.8351989323445435,2.746590701790393,2.746590701790393,0.13241366389189013,0.5406050666880082,0,1.3513582575990493,1,0.023267062510472558,1,36.49786234915964,1,0.00024084735596563434,1,0.9570412517780937,1
57,1.0986122886681098,1.0986122886681098,1.2570395252626283,35.4876029699999,33.8999877099999,4.826091399602125,-1.1924218391670918,-1.1267990786536104,1.1267990786536104,0.26046740958247533,1.1442066853144215,1.1442066853144215,-0.23348067522022203,0.5251896699920736,0,1.5870338700098396,1,0.06572233974976228,1,27.230964101687615,0,-0.00020416159633329656,0,0.9425320056899004,1
87,1.791759469228055,2.3978952727983707,6.770751579156178,35.4807577099999,33.8945956399999,6.042958756005733,-0.0156274398299077,2.1185925765273197,2.6604150580501242,1.1204365034639918,2.823622722794993,3.7788284060657014,0.3505886209171588,0.5811868163912591,1,1.2561747679670188,0,0.008234395432171512,0,49.68815125731934,1,0.1736144375072417,1,0.9331436699857752,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,2.1185925765273197,3.4927470185424085,1.3526164861885424,3.322941055308622,4.664337463663974,0.4431764782167604,0.5593552724101201,1,1.1607683895373409,0,0.012249401579200406,0,62.047676036087374,1,0.00035667693034602266,1,0.9257467994310099,1
453,1.3862943611198906,1.0986122886681098,4.487759580970806,35.53175575,33.89326854,5.882468085706192,1.300626634375449,0.9872130257128071,0.9872130257128071,0.7629041952434238,4.084934810270046,3.2372342460842574,0.167822929309491,0.5003643692384775,0,1.2041715695162711,0,0.01635241303402328,0,33.217177631110715,0,-3.184741248096756e-05,0,0.9172119487908962,1
1573,1.3862943611198906,1.9459101490553128,3.096979340570275,35.4754576599999,33.89800859,5.604320033889323,-1.5553900411763233,-0.22564880568829127,0.22564880568829127,0.5526057259119467,1.5915325494724282,2.233998368188154,-0.04026336903028253,0.5079392941284568,0,1.1378318453478433,0,0.038409991723453836,1,38.13701264940876,1,-1.9911473556621928e-05,0,0.9169274537695591,1
549,1.6094379124341005,2.302585092994046,6.155535147142134,35.4799185299999,33.89617692,5.894472122924939,0.4071381378692232,2.1185925765273197,2.1185925765273197,1.044289466261425,2.6733149475653497,3.8246490278289476,0.35942023854649047,0.5652759155171166,1,1.1789975822872034,0,0.009683388681826076,0,44.378082195120854,1,3.247575507048239e-05,1,0.9155049786628734,1
1159,2.4849066497880004,2.3978952727983707,5.971289900621244,35.52352312,33.88286884,5.272083664404303,0.8457654036941855,1.9279003710053537,1.9279003710053537,1.1326242678844027,2.4902213071435275,2.4030238323563116,0.36568091360575716,0.5622599343292212,1,2.5025571264693975,1,0.006673127361879116,0,22.772077165179745,0,0.4396435892138655,1,0.9120910384068279,1
