fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.7822520696007011,1,4.103551477067529,1,0.09584027091119658,1,591.0780734755555,1,7.572350321184761,1,0.9988620199146515,1
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.7112892458917145,1,2.614672504498764,1,0.07413913344056268,1,111.77665169731111,1,-2.275776110321395,1,0.9954480796586062,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6178469479329944,1,1.8972464782752256,1,0.10876321757990959,1,52.53365508719608,1,-4.622370345566605,1,0.9894736842105264,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,2.1185925765273197,4.4633600878687005,1.4633464844662087,8.885696373339394,8.885696373339394,0.5033588219253996,0.7641178536637592,1,3.40561947718895,1,0.017497128574744815,0,422.0031381292813,1,5.1714141602611114,1,0.9871977240398294,1
53,0.6931471805599453,0.6931471805599453,3.54214702423921,35.4875081799999,33.89984254,5.136134634482512,-0.0156274398299077,1.1003681124343223,1.1003681124343223,0.689652292301348,5.110237945969508,5.110237945969508,0.21424051173557082,0.6009963638520476,1,1.5446460869397525,0,0.04055934585906772,1,74.2331172527294,1,-6.055045666472728,1,0.9826458036984353,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,0.4072081111227632,0.4072081111227632,0.4316169365496553,2.0156423015938905,3.1947174628936,0.07937010983383186,0.5722694857562622,1,2.0657108220975884,1,0.22406340881654888,1,59.82528665659416,1,-7.403628844033192,0,0.9823613086770981,1
29,0.6931471805599453,1.0986122886681098,2.9114807211064,35.47233568,33.8972848599999,5.190530959582707,-1.5553900411763233,0.49032685350199623,0.49032685350199623,0.5609215596202645,2.6501439599188363,4.200378797984026,0.09446564471342948,0.5808665312577265,1,1.6495751973561739,1,0.11350931892229704,1,43.715506522187326,0,-6.904249858500274,1,0.9795163584637269,1
455,0.6931471805599453,0.6931471805599453,3.6874284018466215,35.53202504,33.89360389,5.551554312927266,0.8457654036941855,0.8984387234806168,0.8984387234806168,0.6642154960566865,5.3198346689772364,5.3198346689772364,0.16183552800492754,0.5937943310560102,1,1.5242250667918034,0,0.010222383759032198,0,83.71129121233834,1,-4.777822739925114,1,0.9584637268847794,1
72,1.0986122886681098,1.0986122886681098,1.956850089093648,35.4839076399999,33.90154966,4.1066311958181485,-0.8150443270305894,-0.0709300347103563,0.0709300347103563,0.47650981931037323,1.78120171172126,1.78120171172126,-0.017272073222106128,0.5306674779704648,0,1.570266644080476,1,0.10653448920230434,1,30.54079983129275,0,-9.223472266318844,0,0.9425320056899004,1
1560,1.6094379124341005,2.19722457733622,1.9255616585171844,35.47434158,33.8970768599999,5.595595457299626,-1.1924218391670918,-1.640572797956298,1.640572797956298,0.3441209560646902,0.8763608774354859,1.1964187270852722,-0.2931900296359202,0.5672266456472895,0,1.3833502897066867,0,0.018635050857101765,0,37.48017153240901,0,-9.196126999461342,0,0.9402560455192035,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,2.1185925765273197,3.4927470185424085,1.3526164861885424,3.322941055308622,4.664337463663974,0.4431764782167604,0.5334269719979888,0,1.5157554212025783,0,0.012249401579200406,0,62.047676036087374,1,-8.970593161904507,0,0.9376955903271693,1
454,1.3862943611198906,1.0986122886681098,5.452715158697669,35.53156639,33.89331578,5.882468085706192,0.8457654036941855,1.9576139736849147,1.9576139736849147,0.9269434324594502,4.963275229069398,3.9333025594166022,0.3327878613471309,0.5718485134658008,0,1.4345302308354106,0,0.00784628610054391,0,73.26625837902981,1,-7.11132451995416,1,0.9376955903271693,1
