fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.6065073634446269,1,2.461549566832538,1,1.5217032872537868,1,387.86204663810145,1,0.5704292736967052,1,0.7997880752297019,1,0.9960227272727273,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.7049389027191196,1,2.3478109483043177,1,0.3260953532418295,0,770.347549347057,1,0.023229273635919423,1,0.8755673629298187,1,0.993939393939394,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.290718847155145,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.6581131720224529,1,1.5734576718030937,1,0.4836895328025778,1,357.3670465776791,1,0.16977705753037786,1,0.7752372970059169,1,0.9932765151515152,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.6672979837994658,1,2.3699804288854054,1,0.5396471787796088,1,892.0429351988444,1,-0.000129748566683352,0,0.881529928657551,1,0.9929924242424243,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.6226990587925808,1,1.532363257943933,1,1.2118516792090674,1,213.2895315494578,1,0.3596372418361762,1,0.7351424911969392,1,0.9917613636363636,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6142220538417356,1,1.4685503344395514,0,1.5504290789032102,1,220.03673618169128,1,0.07449787392531015,1,0.7545753802962022,1,0.990435606060606,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.6465042549218006,1,2.403269147535739,1,0.2803453611637808,0,885.12832983106,1,-0.00010665362340045448,0,0.8814222587498177,1,0.9881628787878788,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7018579419370111,1,2.049838241328307,1,0.21454408805963993,0,852.9651123870988,1,0.48534873926239475,1,0.8495848982993326,1,0.987594696969697,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6677025993764475,1,1.6352686687419493,1,0.2337211017826147,0,407.2464475884146,1,0.027068449574933817,1,0.7593625839946678,1,0.9862689393939393,1
621,1.0986122886681096,1.0986122886681096,6.261491684321042,35.4876042,33.8905660499999,4.85297321985314,-0.0156274398299077,3.290718847155145,3.6831132010708307,1.2902382520278006,5.69945534826676,5.69945534826676,0.6780830427196811,0.6108051172808588,1,1.4497433341048633,0,0.29261808258378963,0,411.55561577517557,1,7.344852336554908e-05,0,0.7730415632993803,1,0.9833333333333334,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.6704457982672924,1,1.6806303171112078,1,0.18983505457008268,0,646.5398940131918,1,0.07723912011489764,1,0.7920455604631809,1,0.9830492424242423,1
30,1.0986122886681096,1.0986122886681096,5.036296543097928,35.53154628,33.89229959,3.980881148967695,-0.0156274398299077,3.06157080835057,3.06157080835057,1.265121051002469,4.584234670452873,4.584234670452873,0.769068629226593,0.620746542238239,1,1.408782565675158,0,0.273290077689521,0,270.50487551537475,1,0.00023214838669005644,1,0.7444771838038607,1,0.9819128787878787,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.1723212298827212,1.1723212298827212,0.5843854734643307,4.570402210259986,4.570402210259986,0.2162550009811852,0.6125644587575576,1,1.5143134912935943,1,0.7184319492213483,1,90.50621895074566,0,0.2162451519567654,1,0.7298741924027845,1,0.9806818181818181,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.0261758895281368,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3428700918881124,0.5580374734131255,0,1.579488614110763,1,0.4140842048950519,1,257.82242850235355,1,-0.00025137806859643064,0,0.7000889485227842,1,0.9803977272727273,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,-0.033840267359483533,0.033840267359483533,0.4316169365496553,2.015642301593891,3.1947174628936,-0.006595904314682741,0.5606481754535774,0,1.919846739341332,1,0.20750513333981274,0,151.21629762887363,0,0.08509348101721348,1,0.6533879058793112,1,0.9759469696969697,1
1538,1.6094379124341005,2.5649493574615367,6.627710633659567,35.47561701,33.8994634499999,6.521400854570621,-0.0156274398299077,1.7160701629243809,1.7160701629243809,1.0163016783448355,2.583953797910006,4.11802815284491,0.2631444073433467,0.5488822130876874,0,1.4005530033711096,0,0.38610476557166123,1,162.60278910765567,1,-6.255619702799642e-05,0,0.5528850264033801,0,0.9722537878787879,1
1367,1.0986122886681096,1.6094379124341005,4.535980866635092,35.5342097799999,33.8975098499999,4.082153587157697,-0.0156274398299077,2.282404284663527,2.282404284663527,1.1111734945263008,2.818363374934366,4.128827716040059,0.5591176901927174,0.5468041754528346,0,1.5358599046278905,1,0.2291540333677387,0,147.06833002387623,0,-1.3673770172806243e-05,0,0.7073581171782364,1,0.971685606060606,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.290718847155145,3.290718847155145,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244459,0.5925287770192491,1,1.5409001657717643,1,0.1751347586321418,0,372.53188879050174,1,-0.0002479281101759323,0,0.7816546141556955,1,0.9709280303030304,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,35.52780327,33.8862673599999,5.0400698160457456,2.2605583165504184,2.815311320244378,2.815311320244378,1.3176766219780305,3.022532261036308,3.022532261036308,0.5585857781734397,0.619159188446891,1,1.579928437346687,1,0.1341029640642005,0,197.48660892959873,1,7.976540032039736e-06,0,0.7424898428590322,1,0.9627840909090909,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.6138005554838072,1,2.0074439835549125,1,0.12772567662652573,0,674.42795223458,1,-0.0003346828099375365,0,0.8362842918110727,1,0.9626893939393938,1
1537,1.6094379124341005,1.6094379124341005,6.624564439162539,35.4744579799999,33.89929439,6.521400854570621,1.300626634375449,1.9688370859127193,1.9688370859127193,1.0158192368315488,4.116073312292987,4.116073312292987,0.30190401262220073,0.5370621772583288,0,1.381740480091385,0,0.16098602026047523,0,174.66694611743782,1,0.0001936078515667461,1,0.6685743826312878,1,0.9605113636363636,1
1310,0.6931471805599453,2.302585092994046,3.663330850267561,35.52513744,33.89626839,4.990468388872521,-0.4228999466420856,0.7112791419711648,0.7112791419711648,0.734065535498804,1.5909643736571493,5.28506925081656,0.14252753179584043,0.5556457097207245,0,1.3960763768022575,0,0.4000859463176991,1,80.46555203744806,0,-6.380458278631984e-05,0,0.5706640831159241,0,0.9589015151515152,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.290718847155145,4.465139959549508,1.4633464844662087,8.885696373339394,8.885696373339394,0.7818456368363298,0.622436178882732,1,2.123958319008859,1,0.1115967337657426,0,748.0379906846042,1,-0.0002461995745577372,0,0.8534832473440354,1,0.9575757575757575,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,35.52780458,33.9012114,6.521400854570621,-1.9043027771337224,-2.0261758895281368,2.361640298048272,0.1423343424885272,1.3391373849195853,1.3391373849195853,-0.3106964185629014,0.565722275101497,0,1.4556159506995794,0,0.20719616313737857,0,81.57539633712413,0,0.0002942967431369681,1,0.580376289276752,0,0.9572916666666668,1
809,1.0986122886681096,1.0986122886681096,6.652863029353347,35.5297230899999,33.88929386,4.185969496520373,-1.1924218391670918,3.290718847155145,4.627025518172472,1.589324297485589,6.0556968986928705,6.0556968986928705,0.7861306323160229,0.6465666812329567,1,1.6285302151017986,1,0.12512510015918515,0,579.6202113191564,1,-0.07722986863547576,0,0.7988713751651706,1,0.9552083333333333,1
139,1.3862943611198906,1.9459101490553128,5.746203190540153,35.47430511,33.8960800199999,4.986975232371374,-0.8150443270305894,2.6613541078297676,2.6613541078297676,1.1522421754253942,2.9529642945383583,4.145009423466309,0.5336609836267941,0.6105159199232615,1,1.403690720247529,0,0.13169983716703001,0,276.8768889828648,1,-0.013479349526995144,0,0.6951820890881759,1,0.9543560606060605,1
1517,1.0986122886681096,1.0986122886681096,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,3.290718847155145,3.3098929129257,1.2668268875428923,4.892789260714373,4.892789260714373,0.7755451529656343,0.622966490072643,1,1.3993341193944375,0,0.13985615487851624,0,310.4950375679314,1,-0.08292379050130383,0,0.74706695992447,1,0.9536931818181817,1
1099,1.9459101490553128,1.9459101490553128,0.749527513996053,35.508516,33.8840090899999,5.120655114266923,-0.0156274398299077,-2.0261758895281368,2.7408536917944217,0.14637336381193794,0.38518094700309186,0.38518094700309186,-0.3956868494976166,0.562270093308774,0,1.2794194870575062,0,0.1885810997776778,0,112.20581846766054,0,-0.0006135003062579525,0,0.5777353843463207,0,0.9503787878787877,1
182,1.0986122886681096,0.6931471805599453,2.497905135573657,35.48902154,33.89132871,5.040358521790062,-0.8150443270305894,0.017230417405599496,0.017230417405599496,0.4955808450480099,3.603715351703189,2.273691238791771,0.0034184904369620487,0.5399513338316991,0,1.540982881964942,1,0.5125783111671003,1,57.90477893588765,0,-0.0002599448284299477,0,0.5134341456079329,0,0.9472537878787878,1
895,1.0986122886681096,1.3862943611198906,6.648984550024776,35.53073967,33.8908452299999,5.214059831809923,-1.1924218391670918,3.290718847155145,3.793951416223682,1.2752029636216808,4.796228518634041,6.052166554668344,0.6311241054579266,0.6216655888723294,1,1.4461677288124848,0,0.10586050122334087,0,395.20664122616125,1,-0.04164759832483589,0,0.7154176370355987,1,0.9448863636363636,1
