fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155146,4.699736735949524,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994953,0.7242501442444552,1,2.370775501159352,1,10806.205780971297,1,0.8731231507237532,1,78.93222619781898,1,0.9994318181818181,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155146,4.709236108025244,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203241,0.7239581538087936,1,2.354443146598297,1,10411.308472559189,1,0.871854658949293,1,45.470288608123255,1,0.9981818181818183,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155146,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926705,0.7066582478903749,1,2.2792080305134292,1,10478.544008670156,1,0.8667258919031778,1,61.20822514856724,1,0.9981818181818181,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155146,4.949107535734471,1.625279018247219,6.270248868157708,9.93810932621924,0.7764070609151131,0.7301307764197326,1,2.0360500454790214,1,10362.52987502047,1,0.8423685477325145,1,62.44067491278368,1,0.9980681818181818,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155146,4.465139959549509,1.4633464844662087,8.885696373339394,8.885696373339394,0.78184563683633,0.7298756184687941,1,2.0779156153475,1,6996.859507588841,1,0.8445304952533852,1,41.00746755504851,1,0.9974999999999999,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281363,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482664,0.6818591380858559,1,2.398644733772329,1,3018.9826739541977,1,0.7870089385306557,1,127.32047816636504,1,0.9967045454545455,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155146,4.896384912745443,1.663933770214046,6.273028226734327,6.273028226734327,0.7945205238727956,0.7009044162991087,1,1.6524952696377917,1,2876.229549723387,1,0.7879188680815992,1,69.31184843131629,1,0.9954545454545454,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155146,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853449,0.719172735874949,1,1.9607790902191042,1,6165.643812512787,1,0.8269407748757689,1,23.941036391592498,1,0.9951136363636364,1
809,1.0986122886681098,1.0986122886681098,6.652863029353347,33.88929386,35.5297230899999,4.185969496520373,-1.1924218391670918,3.290718847155146,4.627025518172472,1.589324297485589,6.055696898692869,6.055696898692869,0.7861306323160231,0.7013787990977086,1,1.6134868146946708,1,2247.697055479614,1,0.7890501359642321,1,31.86785412193271,1,0.9936363636363635,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.942311872843169,-1.9043027771337224,3.290718847155146,3.290718847155146,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244461,0.7002558827176764,1,1.5134404118962468,1,3216.7700601084034,1,0.7714519714812986,1,32.94246228156426,1,0.9927272727272726,1
