fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.255240241225963,4.680119981042043,1.3973382018991465,9.949826710759112,9.949826710759112,0.6595437359849151,0.6927360262599137,1,2.103946708435517,1,1381.6881214837442,1,7.586805028947374e-05,1,20.789787468128214,1,0.9953030303030304,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.4431658540816308,1.4431658540816308,0.876176017356294,7.088046166153979,2.3626820553846595,0.2573686281575243,0.6370364678500714,1,1.6272277730735638,1,283.1151780769386,1,0.1229090351953599,1,19.01876625954218,1,0.9936363636363638,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.255240241225963,4.397173741057557,1.4633464844662087,8.885696373339394,8.885696373339394,0.7734162344670733,0.6553107297966165,1,1.7640833126155964,1,1201.6507461465098,1,-2.3987848466910933e-05,0,18.02213219962147,1,0.9924242424242424,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.255240241225963,3.352728580916626,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6317811872919775,0.6677936151627324,1,1.3996871427083453,0,572.1668201656453,1,0.0165982575371888,1,17.004213872070846,1,0.9922727272727274,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.255240241225963,4.243222557696239,1.393165100563557,8.581200581924957,8.581200581924957,0.7624513148082244,0.6313681360125907,1,1.6738508286646439,1,1109.4158933904976,1,0.00012451031995652784,1,15.80561830459711,1,0.9919696969696968,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,2.00127374154923,2.00127374154923,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.37276042168250034,0.6415717174785558,1,1.436244261512451,1,336.0143027184814,1,0.017716694269746203,1,16.27911044413279,1,0.9912121212121212,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.255240241225963,4.663126967378004,1.433151154474292,9.90388184573618,9.90388184573618,0.6795855437282741,0.7036003228658795,1,2.0759853213275377,1,1387.903613418739,1,-0.00043497024886085534,0,21.795665558960454,1,0.990909090909091,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.255240241225963,4.856342949357408,1.663933770214046,6.273028226734327,6.273028226734327,0.7859544682848196,0.6587191889186056,1,1.3817586425703312,0,1057.381821203912,1,-4.092239677566667e-06,0,20.814957730515435,1,0.9884848484848485,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,35.52780327,33.8862673599999,5.0400698160457456,2.2605583165504184,2.7940139939618476,2.7940139939618476,1.3176766219780305,3.022532261036308,3.022532261036308,0.5543601767314265,0.6257390704074499,1,1.3620325335415522,0,324.0290807260223,1,0.00043253109752394714,1,15.117984427272598,1,0.9862121212121211,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.255240241225963,3.3570085063427935,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6867788692133541,0.6375399484320039,1,1.3157089568701728,0,603.8916999144337,1,0.0001234559764964338,1,16.623336203449664,1,0.9831818181818182,1
