fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.6697489258433639,1,2.3699804288854054,1,0.41496959250058857,1,892.042935198844,1,0.9053604247457757,1,0.9977272727272727,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.6957321825488226,1,2.3478109483043177,1,0.3507220707343402,1,770.3475493470569,1,0.9022745232551197,1,0.9960227272727273,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.596433235681437,1,2.461549566832539,1,1.2108412464404823,1,387.862046638101,1,0.8238994641853664,1,0.9947727272727273,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.6705104672011628,1,1.6806303171112078,1,0.2433754586267848,1,646.5398940131909,1,0.8559244109185945,1,0.9904545454545455,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.6278434043129036,1,1.5323632579439326,1,1.222403421544166,1,213.28953154945765,1,0.7887295354229108,1,0.99,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6384615372441255,1,1.4685503344395512,1,1.5595176806093305,1,220.03673618169128,1,0.7937754631542566,1,0.9898863636363636,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.6530532513126195,1,2.4032691475357386,1,0.2086498337160909,1,885.1283298310598,1,0.9055371659905269,1,0.9897727272727274,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155145,4.465139959549508,1.4633464844662087,8.885696373339394,8.885696373339394,0.7818456368363298,0.6464757708324922,1,2.1239583190088585,1,0.19396066373850004,1,748.0379906846036,1,0.8885519538274987,1,0.9865909090909091,1
621,1.0986122886681096,1.0986122886681096,6.261491684321042,33.8905660499999,35.4876042,4.85297321985314,-0.0156274398299077,3.290718847155145,3.6831132010708307,1.2902382520278006,5.69945534826676,5.69945534826676,0.6780830427196811,0.6324188186890529,1,1.4497433341048631,1,0.2558414562460238,1,411.55561577517534,1,0.8118870393529289,1,0.9855681818181818,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,33.89475491,35.4784065899999,5.909456489396374,0.4071381378692232,-2.0261758895281368,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3428700918881124,0.5850597456100448,1,1.579488614110763,1,0.32001047909350283,1,257.8224285023534,1,0.7223781503028192,1,0.985,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155145,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.6890912649169497,1,1.5734576718030937,1,0.1946724932561212,1,357.3670465776786,1,0.8101503929992048,1,0.9837499999999999,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7147788562702112,1,2.049838241328307,1,0.16603286163241443,0,852.9651123870983,1,0.8846817181470141,1,0.9829545454545455,1
809,1.0986122886681096,1.0986122886681096,6.652863029353347,33.88929386,35.5297230899999,4.185969496520373,-1.1924218391670918,3.290718847155145,4.627025518172472,1.589324297485589,6.0556968986928705,6.0556968986928705,0.7861306323160229,0.6467895280955853,1,1.628530215101799,1,0.16317170799919983,0,579.6202113191555,1,0.8469621492365297,1,0.979659090909091,1
1538,1.6094379124341005,2.5649493574615367,6.627710633659567,33.8994634499999,35.47561701,6.521400854570621,-0.0156274398299077,1.7160701629243809,1.7160701629243809,1.0163016783448355,2.583953797910006,4.11802815284491,0.2631444073433467,0.570424272832021,1,1.4005530033711093,1,0.41325464904714854,1,162.60278910765555,1,0.6411953219713509,1,0.9773863636363636,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,-0.033840267359483533,0.033840267359483533,0.4316169365496553,2.015642301593891,3.1947174628936,-0.006595904314682741,0.5725368035801098,1,1.9198467393413323,1,0.22578412382845564,1,151.21629762887343,1,0.6664320128055203,1,0.9772727272727273,1
30,1.0986122886681096,1.0986122886681096,5.036296543097928,33.89229959,35.53154628,3.980881148967695,-0.0156274398299077,3.06157080835057,3.06157080835057,1.265121051002469,4.584234670452873,4.584234670452873,0.769068629226593,0.6135981533073143,1,1.408782565675158,1,0.20110733702949574,1,270.5048755153743,1,0.7706551459366828,1,0.9771590909090907,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.1723212298827212,1.1723212298827212,0.5843854734643307,4.570402210259986,4.570402210259986,0.2162550009811852,0.6217431800041836,1,1.514313491293595,1,0.6444231010067397,1,90.50621895074575,0,0.7413650553839038,1,0.9768181818181818,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6595021729124361,1,1.6352686687419493,1,0.14844690914215639,0,407.24644758841407,1,0.795166707050626,1,0.9751136363636362,1
1367,1.0986122886681096,1.6094379124341005,4.535980866635092,33.8975098499999,35.5342097799999,4.082153587157697,-0.0156274398299077,2.282404284663527,2.282404284663527,1.1111734945263008,2.818363374934366,4.128827716040059,0.5591176901927174,0.5728145271655838,1,1.5358599046278905,1,0.1825299031146725,0,147.068330023876,1,0.7209601347247803,1,0.9717045454545454,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.6087713281044146,1,2.007443983554913,1,0.12357216778334465,0,674.427952234579,1,0.8809780388887367,1,0.9682954545454546,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.942311872843169,-1.9043027771337224,3.290718847155145,3.290718847155145,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244459,0.5824867571159564,1,1.5409001657717645,1,0.13860698810313968,0,372.53188879050134,1,0.8183102798578603,1,0.9679545454545455,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,33.9008645899999,35.5283341,4.780471619459692,-0.4228999466420856,3.290718847155145,3.4939617932006253,1.3526164861885424,3.322941055308622,4.664337463663974,0.6883669874243653,0.6409752444947237,1,1.484912558262731,1,0.123519358146574,0,323.6815669779511,1,0.7919431317563825,1,0.9636363636363636,1
1537,1.6094379124341005,1.6094379124341005,6.624564439162539,33.89929439,35.4744579799999,6.521400854570621,1.300626634375449,1.9688370859127193,1.9688370859127193,1.0158192368315488,4.116073312292987,4.116073312292987,0.30190401262220073,0.5547415396654783,1,1.3817404800913848,1,0.14987535624286408,0,174.66694611743785,1,0.710173742161876,1,0.9603409090909091,1
895,1.0986122886681096,1.3862943611198906,6.648984550024776,33.8908452299999,35.53073967,5.214059831809923,-1.1924218391670918,3.290718847155145,3.793951416223682,1.2752029636216808,4.796228518634041,6.052166554668344,0.6311241054579266,0.6411326247554494,1,1.4461677288124848,1,0.0956516997162326,0,395.2066412261607,1,0.8036987584332921,1,0.952840909090909,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,33.9012114,35.52780458,6.521400854570621,-1.9043027771337224,-2.0261758895281368,2.361640298048272,0.1423343424885272,1.3391373849195853,1.3391373849195853,-0.3106964185629014,0.5852933818053832,1,1.4556159506995796,1,0.18677533735298926,0,81.57539633712416,0,0.6123437966424748,1,0.9511363636363637,1
