fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,2.1622919076446516,4.687312583692167,1.433151154474292,9.90388184573618,9.90388184573618,0.45141440043224595,0.7884806562300856,1,3.583238477350547,1,0.10370936065021542,1,588.2712755412388,1,0.9152961425471794,1,7.482533852479136,1,0.9990516832622096,1
10,2.639057329615259,3.367295829986474,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-1.9063889887732393,4.939673489606513,0.2133712655359028,0.390859659396772,0.4987159946951817,-0.3090618018312844,0.709052527302486,1,2.1593878511415765,1,0.10575478927482852,1,111.97245816078141,1,0.8150867326817427,1,-2.266812340987723,1,0.9957325746799431,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.780379798016999,1.780379798016999,0.5843854734643307,4.570402210259986,4.570402210259986,0.3284219590611401,0.6282918322359897,1,1.6609174556733002,1,0.1279656742601058,1,53.0580921578007,0,0.7392104903520297,1,-4.56414472813915,1,0.9907539118065435,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,2.1622919076446516,4.430684933254391,1.4633464844662087,8.885696373339394,8.885696373339394,0.5137413957500486,0.7715929249412623,1,2.929031281734597,1,0.01999683868564732,0,418.27385530801496,1,0.8933314581466214,1,5.094384720953318,1,0.9898055950687531,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,0.25590775068444094,0.25590775068444094,0.4316169365496553,2.015642301593891,3.1947174628936,0.04987971929918052,0.5860577399733986,0,2.1814418218531832,1,0.24741891167072458,1,59.810254445096,0,0.7132700257762017,1,-7.37176280097924,0,0.985538169748696,1
29,0.6931471805599453,1.0986122886681096,2.9114807211064,33.8972848599999,35.47233568,5.190530959582707,-1.5553900411763233,0.4908672721678027,0.4908672721678027,0.5609215596202645,2.6501439599188368,4.200378797984026,0.09456976097244316,0.605524130475519,1,1.6578728090722357,1,0.12708967912372532,1,43.58624653290279,0,0.6752134664106937,1,-6.8562256129129375,1,0.9836415362731153,1
53,0.6931471805599453,0.6931471805599453,3.54214702423921,33.89984254,35.4875081799999,5.136134634482512,-0.0156274398299077,1.1047410829307545,1.1047410829307545,0.689652292301348,5.110237945969508,5.110237945969508,0.2150919244822448,0.5937813792379969,1,1.2402679552109181,0,0.045259795502175404,1,74.77561230641768,1,0.6521427096161075,1,-5.99973575762823,1,0.969890943575154,1
87,1.791759469228055,2.3978952727983707,6.770751579156178,33.8945956399999,35.4807577099999,6.042958756005733,-0.0156274398299077,2.1622919076446516,2.6456592839851982,1.1204365034639918,2.823622722794993,3.7788284060657014,0.35782006711458686,0.5563869323172663,0,1.5552788169450442,1,0.01959612730966594,0,49.88201861359026,0,0.6348807195474109,0,-9.016052464075074,0,0.9577999051683262,1
72,1.0986122886681096,1.0986122886681096,1.956850089093648,33.90154966,35.4839076399999,4.1066311958181485,-0.8150443270305894,-0.0991410056967672,0.0991410056967672,0.47650981931037323,1.7812017117212602,1.7812017117212602,-0.02414168718090004,0.5325117464217214,0,1.6410477811698787,1,0.1020566422623583,1,29.817412990805966,0,0.5456914575165251,0,-9.218141771442156,0,0.9471313418681842,1
1517,1.0986122886681096,1.0986122886681096,5.375278407684165,33.8892338,35.5291301899999,4.243104137227407,-1.1924218391670918,2.1622919076446516,3.297060654218067,1.2668268875428923,4.892789260714373,4.892789260714373,0.50960142332438,0.6035620879152022,1,1.2870988185811334,0,0.006413794974062073,0,99.20127121112677,1,0.652692456915905,1,-5.622512081137863,1,0.9402560455192034,1
