fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.6925302472655467,1,2.8335353246126287,1,9775.534463097041,1,0.0002041662504878028,1,0.7134997236298665,1,0.9948790896159319,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.7316244757034797,1,3.7204405477801656,1,26810.377540026566,1,-0.00010178363290569425,0,0.8579481249264078,1,0.9894736842105264,1
1750,1.0986122886681098,0.6931471805599453,4.959426206689514,35.5086712,33.88883598,5.715133645007413,-1.1924218391670918,2.1185925765273197,2.1908751641109925,0.8677708195016465,7.154939594045725,4.514264274889933,0.3706986937003766,0.6357620697877752,1,1.7980408464904185,1,2964.1196843988478,1,7.655365559511296e-05,0,0.5630312247949906,1,0.9880512091038408,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,2.1185925765273197,4.4633600878687005,1.4633464844662087,8.885696373339394,8.885696373339394,0.5033588219253996,0.7227191048403295,1,3.288500657842945,1,20605.022551764738,1,-0.00029575493987477053,0,0.8309979747995291,1,0.9854907539118065,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,2.1185925765273197,3.9157917378587923,1.5461992827517541,3.873657180281966,3.873657180281966,0.5254331911044049,0.6630624422365589,1,2.0997612065257876,1,7222.4762219391105,1,-0.00012264024866781575,0,0.562417560881286,1,0.9846372688477952,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,2.1185925765273197,3.4927470185424085,1.3526164861885424,3.322941055308622,4.664337463663974,0.4431764782167604,0.6274578305128382,1,1.7878209433539434,1,4383.884167516402,1,-3.880623350815959e-05,0,0.562417560881286,1,0.9840682788051209,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6170298794473432,1,2.0163718577349816,1,1940.6729296033507,0,-4.385229377956712e-05,0,0.6957453684921036,1,0.9815078236130867,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,2.1185925765273197,3.2977828495606873,1.2668268875428923,4.892789260714372,4.892789260714372,0.49930251721601215,0.6383273134260687,1,1.7188754499018404,1,4150.841148497702,1,-0.00022631328777356075,0,0.562417560881286,1,0.9798008534850642,1
1241,0.6931471805599453,0.6931471805599453,3.56953269648137,35.52937227,33.8881709899999,4.2566007634402405,-1.1924218391670918,1.7992327010437061,1.7992327010437061,0.8385876183502883,5.149747119504682,5.149747119504682,0.4226923785047538,0.621478566241167,1,1.5147026983472762,0,2552.7855525595533,1,0.00010486012246169185,0,0.44733977170797395,0,0.9780938833570414,1
54,2.4849066497880004,2.4849066497880004,1.8492419046414168,35.4873119399999,33.90067363,6.027595689943101,1.77209775307598,-1.9423846596717498,2.775021404062139,0.30679594315306064,0.7441896880911743,0.7441896880911743,-0.3222486642414607,0.6302029521327385,1,1.6262046750770487,1,1959.5504660761344,0,4.031849382279962e-05,0,0.35385727330466843,0,0.9769559032716929,1
1702,1.0986122886681098,0.6931471805599453,4.156050951658079,35.5153506699999,33.89265601,6.066488641810048,-0.4228999466420856,1.139912847936861,1.139912847936861,0.6850834472869045,5.995914097638968,3.783000604058981,0.18790323616212146,0.5565677214964342,0,1.5554317674924392,0,1731.8083628213049,0,0.00022415184815249845,1,0.45171948947007884,1,0.9738264580369844,1
1002,1.0986122886681098,0.6931471805599453,4.820386398819521,35.5139740899999,33.8947290899999,6.07251836443936,-1.1924218391670918,1.9835180793974398,1.9835180793974398,0.7938035110849037,6.954347552745531,4.387704787704005,0.3266384653544916,0.6353985579877298,1,1.6933236246615988,1,2860.9075553626517,1,-0.0050166608151615,0,0.45171948947007884,1,0.9724039829302988,1
1024,0.6931471805599453,0.6931471805599453,3.561756057784744,35.53474491,33.89670692,4.331689232834654,-0.0156274398299077,1.5918860045757597,1.5918860045757597,0.8222556758657255,5.138527801422274,5.138527801422274,0.36749774026010423,0.6045791622498926,0,1.4957029828937007,0,2356.7687284239955,1,0.00011598496261155944,0,0.2751852849587107,0,0.9695590327169276,1
28,0.6931471805599453,1.0986122886681098,4.063558840956468,35.52840983,33.89228148,5.277795022029536,-1.731581372624909,1.6164111706993705,1.6164111706993705,0.7699349489692491,3.6988106567448624,5.8624761882084,0.30626637903754583,0.5895690296603054,0,1.3567356881571009,0,3234.0213721569503,1,0.0004078480016634911,1,0.4905018021366781,1,0.968421052631579,1
87,1.791759469228055,2.3978952727983707,6.770751579156178,35.4807577099999,33.8945956399999,6.042958756005733,-0.0156274398299077,2.1185925765273197,2.6604150580501242,1.1204365034639918,2.823622722794993,3.7788284060657014,0.3505886209171588,0.6270571852301284,1,1.7159666212944975,1,828.8019786895151,0,-8.7601113826552e-05,0,0.34550916742063226,0,0.9675675675675677,1
1049,2.302585092994046,3.091042453358316,2.0409605548615546,35.50895209,33.8812960699999,5.421599851726236,1.77209775307598,-1.9423846596717498,2.5547339269678395,0.37644986916762463,0.6602822787646019,0.8863779067585722,-0.35826780153339705,0.6078489297605646,1,1.5920759995492875,0,904.8907439594959,0,0.00020133114849185674,1,0.25490448922552217,0,0.966145092460882,0
53,0.6931471805599453,0.6931471805599453,3.54214702423921,35.4875081799999,33.89984254,5.136134634482512,-0.0156274398299077,1.1003681124343223,1.1003681124343223,0.689652292301348,5.110237945969508,5.110237945969508,0.21424051173557082,0.5768337495620702,0,1.4561212095156255,0,2083.9170935321395,1,-0.00031141731056893995,0,0.46357930594001723,1,0.9607396870554765,0
