fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,fused_rank,is_anomaly_fused
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.3025925193207013,4.046564561611313,1.1920739609994475,9.843921051289035,9.843921051289035,0.5769851176509914,0.6845987180748474,1,1.8750480804873646,1,962.8168585125138,1,0.02251105147478083,1,0.9973011363636364,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.3025925193207013,4.9804637753591,1.625279018247219,6.270248868157708,9.93810932621924,0.7792085165655398,0.7217895676143052,1,1.446085153165076,1,1079.7828747630326,1,0.4925509535483248,1,0.9954545454545455,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.0376193955333073,4.894955478240147,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.3303367390068386,0.5779879806127466,0,2.3317296504396774,1,341.8659153581159,1,0.5726240733822392,1,0.9921875,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.53913024438202,1.53913024438202,0.876176017356294,7.088046166153979,2.3626820553846595,0.27448254712514103,0.628211379507096,1,1.5405953750984387,1,248.5024347764695,1,0.3656287672133809,1,0.9921875,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.3025925193207013,4.715145604529209,1.433151154474292,9.90388184573618,9.90388184573618,0.6894711193758847,0.6517988054744704,1,1.8347991559378898,1,1125.920490422539,1,4.124441180342053e-05,0,0.9921875,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.3025925193207013,3.376024797255179,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6409713779564942,0.6992943751911688,1,1.3826063342267156,0,445.0284022295618,1,0.17406203917283936,1,0.9913352272727273,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.9459242767629048,1.9459242767629048,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3624509425716219,0.6179686115825536,1,1.4920452775418505,1,269.63883292838835,1,0.08117808017015893,1,0.990625,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.3025925193207013,4.701007369116455,1.3973382018991465,9.949826710759112,9.949826710759112,0.669137773932246,0.6401527066490782,1,1.8561187184436208,1,1108.2558560088075,1,-0.00024097862828820205,0,0.9892045454545454,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.3025925193207013,4.451157700077411,1.4633464844662087,8.885696373339394,8.885696373339394,0.7846667161223619,0.6381369254891691,1,1.5867509925270897,1,958.3540035579822,1,-0.00022880316970796954,0,0.9880681818181818,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.3025925193207013,3.3847066944236794,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6967690824064464,0.6680308376151857,1,1.3426327223496974,0,479.37997413464575,1,0.02601812234902412,1,0.9876420454545454,1
