fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.7356999160159908,1,2.2068482833549816,1,0.07250582720330512,1,310.41004279560275,1,9.404689358602688,1,0.8592671907372508,1,5.982295764129287,1,0.9963474025974026,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.7305141507931558,1,2.137332591873791,1,0.004287008708266498,1,783.3537357001194,1,8.689785366395494,1,0.879573521925367,1,9.010547022330503,1,0.9939123376623378,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.942311872843169,-1.9043027771337224,3.290718847155145,3.290718847155145,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244459,0.637505111085961,1,1.7278539413797398,1,0.01726368321456457,1,429.4076256841166,1,7.975842241076924,1,0.8645833029270381,1,0.024798881848425935,1,0.9935064935064936,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.398729640119132,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6776217279504088,1,2.1117587105512157,1,0.004461814500244137,1,312.7648504949426,1,7.089443292623843,1,0.8512777344928774,1,0.6574872704180041,1,0.9913961038961039,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.7371015975886606,1,2.663607188297341,1,0.00238791721764073,1,1035.6547609469155,1,9.38195034927959,1,0.9241752917692675,1,13.495047182900482,1,0.9898538961038961,1
30,1.0986122886681096,1.0986122886681096,5.036296543097928,33.89229959,35.53154628,3.980881148967695,-0.0156274398299077,3.06157080835057,3.06157080835057,1.265121051002469,4.584234670452873,4.584234670452873,0.769068629226593,0.6065272036488693,1,2.063022834053555,1,0.007622539901964301,1,315.15722256517614,1,5.093698757273402,1,0.8378017663556862,1,-2.176409032885074,1,0.9895292207792207,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.6560950187145089,1,1.8711221566282068,1,0.0029697970798453393,1,719.9355572847671,1,7.325251897115925,1,0.8624275749786126,1,1.189532909997805,1,0.9885551948051947,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6655846927163047,1,1.4929809894070245,1,0.015590317097400053,1,235.0535892651875,1,4.161474851427794,1,0.7868563566123273,1,1.5481966366059936,1,0.9880681818181818,1
1517,1.0986122886681096,1.0986122886681096,5.375278407684165,33.8892338,35.5291301899999,4.243104137227407,-1.1924218391670918,3.290718847155145,3.3098929129257,1.2668268875428923,4.892789260714373,4.892789260714373,0.7755451529656343,0.6019611361680194,1,2.0084411008472838,1,0.010578152665633077,1,342.5488206456897,1,4.876274284955746,1,0.8147532670582088,1,-4.064866687611184,1,0.9879058441558441,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,33.89475491,35.4784065899999,5.909456489396374,0.4071381378692232,-2.0261758895281368,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3428700918881124,0.6594255196289496,1,1.495092677121897,1,0.014696355975449408,1,164.046502441053,1,4.619575604922363,1,0.7892651137539828,1,-3.3417037346275116,1,0.986525974025974,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,3.290718847155145,3.8769603129053696,1.5461992827517541,3.873657180281966,3.873657180281966,0.8161328063002584,0.6542306063707843,1,2.3834979669715195,1,0.00234249232988525,1,404.10622532052935,1,7.484361940363623,1,0.8674874217736016,1,-1.0178492066081937,1,0.9857142857142858,1
364,0.6931471805599453,0.6931471805599453,4.635126967277885,33.8943381599999,35.5259145899999,5.364744859928628,-0.8150443270305894,2.111982475883306,2.111982475883306,0.8639976528799079,6.687074689582506,6.687074689582506,0.3936780836789699,0.6342172701924236,1,1.5000191322835337,1,0.003730345141340171,1,268.20059364182936,1,3.9024391726297747,1,0.8053644616639828,1,-1.0977164042954257,1,0.9831168831168832,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,33.9008645899999,35.5283341,4.780471619459692,-0.4228999466420856,3.290718847155145,3.4939617932006253,1.3526164861885424,3.322941055308622,4.664337463663974,0.6883669874243653,0.6267199607472391,1,1.8942394370284896,1,0.003901171062151881,1,311.3980586833268,1,3.8088134892622847,1,0.8204962106475198,1,-4.719850576048543,1,0.9831168831168832,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.1723212298827212,1.1723212298827212,0.5843854734643307,4.570402210259986,4.570402210259986,0.2162550009811852,0.59502956310585,1,1.7064508170636075,1,0.01152081040325248,1,64.81465367293707,1,6.880154635637466,1,0.8198843464390508,1,-2.0802284633494974,1,0.98262987012987,1
1503,1.0986122886681096,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155145,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.0913971303012655,0.6386669204841185,0.5908286703637012,1,1.758448936438306,1,0.01525301737570183,1,267.33097490778607,1,2.9342732562219265,1,0.8014982557045757,1,-5.0315971619447595,1,0.9816558441558441,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,-0.033840267359483533,0.033840267359483533,0.4316169365496553,2.015642301593891,3.1947174628936,-0.006595904314682741,0.5929448843231753,1,2.0681067460254092,1,0.013592898053293008,1,54.88102877115438,1,5.652822720641827,1,0.7879438119838771,1,-2.264057654721137,1,0.9803571428571428,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.5935630773009456,1,1.3961678545319776,1,0.008126257018290173,1,181.23409876029086,1,4.589947850814499,1,0.8027274319749531,1,-3.206699923445754,1,0.980275974025974,1
1367,1.0986122886681096,1.6094379124341005,4.535980866635092,33.8975098499999,35.5342097799999,4.082153587157697,-0.0156274398299077,2.282404284663527,2.282404284663527,1.1111734945263008,2.818363374934366,4.128827716040059,0.5591176901927174,0.6113256558624821,1,2.066505692356537,1,0.0045068856384932595,1,146.51536782792982,1,4.431651525670512,1,0.8097648970904902,1,-5.947811043379357,1,0.9800324675324675,1
1729,0.6931471805599453,0.6931471805599453,4.859789148277298,33.89609087,35.5165647299999,5.446970821768159,-0.0156274398299077,2.2180139892368933,2.2180139892368933,0.8922003269883033,7.011193703985658,7.011193703985658,0.40720137151696667,0.6469361212741744,1,1.6051576174967352,1,0.002178252363015982,0,314.31538259174937,1,5.7518164995151935,1,0.8397117358050165,1,0.7474936534706327,1,0.9799512987012987,1
91,2.70805020110221,3.4339872044851463,2.305779983890565,33.8988567199999,35.48223799,5.757741173117037,1.77209775307598,-2.0261758895281368,2.742911906455886,0.40046607073209184,0.67145852520329,0.8514539290859836,-0.35190464951574696,0.652223254665213,1,1.490735078185747,1,0.0032826696745202654,1,121.40877128426581,1,4.177526517530481,1,0.7737190620216826,1,-4.534215870979093,1,0.9768668831168831,1
54,2.4849066497880004,2.4849066497880004,1.8492419046414172,33.90067363,35.4873119399999,6.027595689943101,1.77209775307598,-2.0261758895281368,2.8692158400378203,0.3067959431530607,0.7441896880911745,0.7441896880911745,-0.33614993336543175,0.6390537134559023,1,1.4247956993231283,1,0.006158286943584456,1,125.63711365571493,1,2.9489288415955635,1,0.7266483726046791,1,-4.542660436553183,1,0.9762175324675324,1
139,1.3862943611198906,1.9459101490553128,5.746203190540153,33.8960800199999,35.47430511,4.986975232371374,-0.8150443270305894,2.6613541078297676,2.6613541078297676,1.1522421754253942,2.9529642945383583,4.145009423466309,0.5336609836267941,0.6318954080231834,1,1.6858485241632464,1,0.0022854670181164114,1,191.11198738556027,1,2.819750267277742,1,0.7963934834395872,1,-3.7726441405292697,1,0.9754870129870131,1
701,1.0986122886681096,0.6931471805599453,4.137084715898258,33.8905978299999,35.51683512,6.521400854570621,-1.1924218391670918,0.472249810799811,0.472249810799811,0.6343858947113671,5.9685516033639425,3.7657367922889398,0.0724153937675565,0.6526831636938492,1,1.3551100050394769,1,0.003505469201959943,1,83.34835571198549,1,3.123230407281385,1,0.748434485047411,1,-2.0884390178600327,1,0.9737824675324674,1
895,1.0986122886681096,1.3862943611198906,6.648984550024776,33.8908452299999,35.53073967,5.214059831809923,-1.1924218391670918,3.290718847155145,3.793951416223682,1.2752029636216808,4.796228518634041,6.052166554668344,0.6311241054579266,0.5950279706459021,1,1.4921306096256302,1,0.0022511461472439222,1,384.63557608629213,1,3.6362238698763036,1,0.8204962106475198,1,-3.846493540673219,1,0.9737824675324674,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025243,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.7522158557956241,1,2.612418595064762,1,0.0013342356539252304,0,1044.3902609914453,1,9.246627083598256,1,0.9209772738393457,1,16.510378470844042,1,0.9737012987012986,1
272,1.6094379124341005,1.3862943611198906,6.678342114654332,33.8867163099999,35.51788674,4.823764024172099,0.4071381378692232,3.290718847155145,3.740604751599713,1.3844670015342497,4.817405525085859,4.149487260775449,0.6821890189207442,0.6148251591274494,1,1.8825403488876211,1,0.0017621385468374687,0,400.8062674679834,1,4.646092838235215,1,0.8217809268740975,1,-3.668402555714348,1,0.9730519480519481,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.7261016257537038,1,2.6521131577990453,1,0.0012657174242015113,0,883.1934519063313,1,9.593041669090965,1,0.9224119534604905,1,12.666059124528807,1,0.9710227272727272,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,33.8862673599999,35.52780327,5.0400698160457456,2.2605583165504184,2.815311320244378,2.815311320244378,1.3176766219780305,3.022532261036308,3.022532261036308,0.5585857781734397,0.6485697247376521,1,2.291669415804406,1,0.0014795185473448654,0,219.19903060830205,1,6.754458049079941,1,0.8504486540225831,1,-3.943617117245978,1,0.9701298701298702,1
