contamination,use_pca,use_fa,lof_neighbors,if_estimators,if_max_features,use_ae,use_ocsvm,use_copula,use_hdbscan,hdb_min_cluster,stage,silhouette,dunn,dbi,score,time_sec,rho_bootstrap,jacc_topk,rho_seed,rho_noise,out_dir
0.04,1,0,20,300,1.0,1,0,1,1,20,1,0.5085488459510902,0.018880077496542694,1.332778153240423,0.5936039003914368,47.59,0.9694542109248863,0.677891737891738,0.9799306702792212,0.9885148115421175,data\tuning_runs_asha\stage1_wide\c6b33c3f5a
0.04,1,0,30,400,0.8,1,1,1,1,5,1,0.514228836201379,0.018880077496542694,1.3709474120867213,0.5888426931172293,54.23,0.964034349357577,0.6185714285714285,0.9831388357051041,0.9846967584537409,data\tuning_runs_asha\stage1_wide\f4937c9740
0.04,1,0,10,400,0.8,0,0,0,1,10,1,0.5103291167358827,0.0598056618817088,1.664904955157735,0.587307015908311,13.84,0.9619232514340115,0.7128571428571429,0.9987260046591787,0.9910424036224112,data\tuning_runs_asha\stage1_wide\d7af348fb3
0.05,1,0,50,100,0.6,1,0,0,1,30,1,0.5010408760365798,0.018880077496542694,1.263928716914409,0.5861602880883661,48.82,0.9661714806015783,0.6401208026208026,0.971699296425305,0.9836232143734388,data\tuning_runs_asha\stage1_wide\fe1063910a
0.05,1,0,30,200,1.0,0,0,0,0,5,1,0.4987134133237023,0.018880077496542694,1.8168475149265075,0.5846630113392348,9.24,0.9921243501395691,0.7932795698924732,0.9973555197832598,0.9966762149357851,data\tuning_runs_asha\stage1_wide\39689b8537
0.05,1,0,20,100,1.0,0,1,1,1,20,1,0.4954741917293084,0.018880077496542694,1.803096810924376,0.5812007536503558,8.05,0.9853168841675688,0.7932795698924731,0.9983791388908182,0.9962490446822778,data\tuning_runs_asha\stage1_wide\ad9500b004
0.05,1,0,20,200,1.0,0,1,0,1,30,1,0.49217896448929127,0.018880077496542694,1.8130539823417045,0.5791377801019402,10.25,0.9919362862668324,0.7986899932386747,0.9987928985071588,0.9981744600967761,data\tuning_runs_asha\stage1_wide\ffb91bafa4
0.03,0,0,30,200,0.6,1,1,0,0,5,1,0.5375236125248838,0.021215705950494775,1.6278278911880872,0.5789183224988901,45.37,0.9855743356716222,0.6253968253968254,0.9932275360649175,0.9819185712253902,data\tuning_runs_asha\stage1_wide\658e4153a3
0.05,0,0,50,400,1.0,1,0,1,1,10,1,0.4935601769744706,0.04422967236715653,1.7620607993152868,0.5716653869990665,54.82,0.9734800213569417,0.7649682306940371,0.9958794617811996,0.9665515542090599,data\tuning_runs_asha\stage1_wide\3ac89400c7
0.07,1,0,30,100,1.0,0,0,1,0,5,1,0.4599618499502913,0.011482334882067702,1.8325152992115048,0.5690452157660039,8.09,0.993697107841186,0.8262591067469116,0.9972538734441562,0.9959385641733075,data\tuning_runs_asha\stage1_wide\97e6f60ad1
0.03,0,1,20,400,0.8,0,1,1,0,5,1,0.5090098430928519,0.02431234858753655,1.9659716260618125,0.5533737535180419,11.73,0.982521433411795,0.8823529411764706,0.9993433343275558,0.8047260005245883,data\tuning_runs_asha\stage1_wide\cab636e03e
0.04,0,1,50,200,0.6,0,1,0,0,5,1,0.4799616070624351,0.04034265814179103,2.001567459071332,0.55326177711122,7.63,0.9936040038841587,0.8333333333333334,0.9973022560540326,0.8783976192776366,data\tuning_runs_asha\stage1_wide\ae235269ba
0.07,1,0,50,400,1.0,0,1,0,0,5,1,0.4647325641496536,0.011250267765929623,2.0169054309283747,0.5527878904465493,13.19,0.9952203813648983,0.8164106218984267,0.9991472621817071,0.998560258356964,data\tuning_runs_asha\stage1_wide\cfeb733798
0.07,1,0,50,300,1.0,0,1,1,0,5,1,0.46444843585397355,0.018199993077845335,2.0272732335493795,0.5522166826407843,11.75,0.9960181691649086,0.8154617645542206,0.9993645458054043,0.9988390186813401,data\tuning_runs_asha\stage1_wide\2e082ec9c2
0.05,0,0,30,300,0.6,0,0,1,0,5,1,0.49336491868191473,0.02191969415389566,2.1628482744320494,0.5457104261476823,12.4,0.9896724686288715,0.8093715239154615,0.9982588760970421,0.9784695539677322,data\tuning_runs_asha\stage1_wide\daa39f36ac
0.05,1,0,10,300,0.8,0,0,1,1,5,1,0.4829592636031256,0.03988545002338293,1.909945721854062,0.543654273131624,11.35,0.9611259031525627,0.6735071301247773,0.9991489301332197,0.9860440198062693,data\tuning_runs_asha\stage1_wide\8c6771e26d
0.04,0,0,20,200,1.0,1,0,1,0,5,1,0.49177456525157354,0.02210728108862208,2.0151916763033966,0.5323234430394281,50.59,0.9826011850971895,0.7104843304843305,0.9944156888260334,0.9804898823145891,data\tuning_runs_asha\stage1_wide\3f720edbe4
