fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155145,4.709236108025244,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203239,0.7616915812531575,1,2.371068562960569,1,1044.3902609914462,1,0.9177330676914038,1,16.510378470844042,1,0.9995454545454546,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155145,4.699736735949523,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994951,0.7509384491428712,1,2.505556411009146,1,1035.6547609469162,1,0.9203792744246262,1,13.495047182900482,1,0.9995454545454546,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155145,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926702,0.7396632857067236,1,2.4240846815926136,1,883.1934519063319,1,0.9217181688349735,1,12.666059124528807,1,0.999090909090909,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155145,4.465139959549508,1.4633464844662087,8.885696373339394,8.885696373339394,0.7818456368363298,0.7448968483581005,1,1.8978526049956599,1,879.7220672811841,1,0.8985045590355358,1,11.012517963540887,1,0.997840909090909,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155145,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853447,0.7388109015188947,1,1.7998301985878489,1,783.3537357001201,1,0.8912365145724218,1,9.010547022330503,1,0.9963636363636363,1
1402,0.6931471805599453,1.0986122886681096,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155145,4.949107535734471,1.625279018247219,6.270248868157709,9.93810932621924,0.7764070609151129,0.7136853706970803,1,1.758842865830277,1,820.0102994639354,1,0.8915102958222776,1,4.645011192465056,1,0.9960227272727273,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281368,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482675,0.7380121616368839,1,1.9793613033929671,1,310.41004279560394,1,0.8584446328230861,1,5.982295764129287,1,0.9948863636363636,1
1237,1.0986122886681096,1.0986122886681096,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155145,4.896384912745443,1.663933770214046,6.273028226734328,6.273028226734328,0.7945205238727954,0.682252607664237,1,1.5708916376500066,1,719.9355572847684,1,0.8882836568644605,1,1.189532909997805,1,0.99375,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,3.290718847155145,3.8769603129053696,1.5461992827517541,3.873657180281966,3.873657180281966,0.8161328063002584,0.6808938033532348,1,1.7271006558369288,1,404.1062253205299,1,0.8747195657381319,1,-1.0178492066081937,1,0.9934090909090909,1
809,1.0986122886681096,1.0986122886681096,6.652863029353347,33.88929386,35.5297230899999,4.185969496520373,-1.1924218391670918,3.290718847155145,4.627025518172472,1.589324297485589,6.0556968986928705,6.0556968986928705,0.7861306323160229,0.673284586210703,1,1.5640581728818326,1,645.2538521410904,1,0.8786582602952231,1,-0.2510991594188532,1,0.9925,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155145,3.3987296401191323,1.3982905337714144,2.7639700152229563,4.11802815284491,0.694264017790939,0.6973510515498933,1,1.6532991219611266,1,312.7648504949434,1,0.8507781927196585,1,0.6574872704180041,1,0.9924999999999999,1
