fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155146,4.709236108025244,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203241,0.6615327957319981,1,2.3699804288854054,1,0.5396471787796059,1,892.0429351988441,1,0.881529928657551,1,21.127625635293075,1,0.9977272727272727,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155146,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926705,0.6907758297311704,1,2.347810948304318,1,0.3260953532418277,0,770.347549347057,1,0.8755673629298188,1,23.988486779757988,1,0.9946022727272726,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155146,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6386669204841188,0.682837826078553,1,1.5734576718030935,1,0.48368953280257315,1,357.36704657767876,1,0.775237297005917,1,18.36723680900246,1,0.993276515151515,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281363,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482664,0.5857925359117967,1,2.461549566832539,1,1.5217032872537837,1,387.8620466381015,1,0.7997880752297021,1,14.052043257421664,1,0.9929924242424243,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155146,4.699736735949524,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994953,0.64852800905241,1,2.4032691475357395,1,0.28034536116378234,0,885.1283298310597,1,0.8814222587498178,1,18.910376941008884,1,0.9925189393939394,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.6555133928047246,1,1.5323632579439335,1,1.2118516792090888,1,213.28953154945793,1,0.7351424911969394,1,15.992674313605432,1,0.9910984848484848,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,33.87216338,35.5159158299999,5.368793533702513,-1.1924218391670918,1.970817261771387,1.970817261771387,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3670875494465589,0.6275772471136652,1,1.4685503344395514,0,1.5504290789031967,1,220.0367361816913,1,0.7545753802962024,1,16.224344900737393,1,0.9901515151515151,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155146,4.949107535734471,1.625279018247219,6.270248868157708,9.93810932621924,0.7764070609151131,0.704877276190552,1,2.049838241328307,1,0.21454408805963388,0,852.965112387099,1,0.8495848982993329,1,24.55820640511597,1,0.9877840909090909,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155146,3.3987296401191323,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6942640177909393,0.6631366811792075,1,1.6352686687419493,1,0.23372110178261357,0,407.2464475884142,1,0.7593625839946679,1,16.627268913696316,1,0.9858901515151514,1
621,1.0986122886681098,1.0986122886681098,6.261491684321042,33.8905660499999,35.4876042,4.85297321985314,-0.0156274398299077,3.290718847155146,3.6831132010708307,1.2902382520278006,5.699455348266758,5.699455348266758,0.6780830427196813,0.6226785206362593,1,1.4497433341048633,0,0.2926180825837858,0,411.55561577517534,1,0.7730415632993803,1,14.17711491512512,1,0.9853219696969694,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,33.9008645899999,35.5283341,4.780471619459692,-0.4228999466420856,3.290718847155146,3.4939617932006253,1.3526164861885424,3.322941055308622,4.664337463663974,0.6883669874243655,0.6666762964600882,1,1.4849125582627312,1,0.25815450111391147,0,323.6815669779512,1,0.7154176370355987,1,15.501924034136316,1,0.984280303030303,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155146,4.896384912745443,1.663933770214046,6.273028226734327,6.273028226734327,0.7945205238727956,0.6595942787204386,1,1.6806303171112078,1,0.18983505457008426,0,646.5398940131914,1,0.7920455604631812,1,21.206343452133545,1,0.9829545454545454,1
30,1.0986122886681098,1.0986122886681098,5.036296543097928,33.89229959,35.53154628,3.980881148967695,-0.0156274398299077,3.0615708083505697,3.0615708083505697,1.265121051002469,4.584234670452872,4.584234670452872,0.7690686292265929,0.6204446385945043,1,1.4087825656751576,0,0.27329007768952535,0,270.5048755153746,1,0.7444771838038606,1,14.448274845944834,1,0.9817234848484847,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,33.89475491,35.4784065899999,5.909456489396374,0.4071381378692232,-2.0261758895281363,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.34287009188811235,0.5453332891194371,0,1.579488614110763,1,0.41408420489504877,1,257.82242850235343,1,0.7000889485227842,1,10.493981297186192,0,0.981155303030303,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.172321229882721,1.172321229882721,0.5843854734643307,4.570402210259985,4.570402210259985,0.21625500098118516,0.6041127358749439,1,1.514313491293592,1,0.7184319492213602,1,90.50621895074552,0,0.7298741924027843,1,14.759661461625596,1,0.9788825757575758,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,33.89237268,35.52574879,3.942311872843169,-1.9043027771337224,3.290718847155146,3.290718847155146,1.1328145166338148,6.442943495848729,6.442943495848729,0.8347180419244461,0.5913342529246345,1,1.540900165771765,1,0.17513475863214087,0,372.53188879050174,1,0.7816546141556956,1,14.077189287829345,1,0.9746212121212121,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,-0.03384026735948309,0.03384026735948309,0.4316169365496553,2.0156423015938905,3.1947174628936,-0.006595904314682655,0.5704558549321722,0,1.9198467393413323,1,0.2075051333398155,0,151.2162976288736,0,0.6533879058793114,1,13.346260545221513,1,0.9742424242424242,1
1367,1.0986122886681098,1.6094379124341005,4.535980866635092,33.8975098499999,35.5342097799999,4.082153587157697,-0.0156274398299077,2.282404284663527,2.282404284663527,1.1111734945263008,2.818363374934366,4.128827716040058,0.5591176901927174,0.5687549316334777,0,1.5358599046278905,1,0.22915403336773674,0,147.0683300238761,0,0.7073581171782364,1,10.667608978123683,0,0.9739583333333331,1
1538,1.6094379124341005,2.5649493574615367,6.627710633659567,33.8994634499999,35.47561701,6.521400854570621,-0.0156274398299077,1.71607016292438,1.71607016292438,1.0163016783448355,2.583953797910006,4.11802815284491,0.26314440734334654,0.5710419880441204,0,1.4005530033711096,0,0.38610476557165746,1,162.60278910765552,1,0.5528850264033802,0,7.648126247290482,0,0.9704545454545453,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,33.8885053099999,35.53012838,4.269440130803286,-1.1924218391670918,3.290718847155146,4.212182076371431,1.393165100563557,8.581200581924957,8.581200581924957,0.7707612113853449,0.6127792513583183,1,2.0074439835549134,1,0.12772567662652537,0,674.4279522345798,1,0.8362842918110729,1,15.207155216275254,1,0.9673295454545454,1
809,1.0986122886681098,1.0986122886681098,6.652863029353347,33.88929386,35.5297230899999,4.185969496520373,-1.1924218391670918,3.290718847155146,4.627025518172472,1.589324297485589,6.055696898692869,6.055696898692869,0.7861306323160231,0.6506326189973377,1,1.628530215101798,1,0.12512510015918618,0,579.6202113191557,1,0.7988713751651709,1,18.75387139118585,1,0.9669507575757574,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,33.8862673599999,35.52780327,5.0400698160457456,2.2605583165504184,2.815311320244378,2.815311320244378,1.3176766219780305,3.022532261036308,3.022532261036308,0.5585857781734397,0.6222330765778039,1,1.579928437346687,1,0.1341029640642048,0,197.48660892959856,1,0.7424898428590323,1,15.614272478202126,1,0.965435606060606,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,33.8892338,35.5291301899999,4.243104137227407,-1.1924218391670918,3.290718847155146,3.3098929129257,1.2668268875428923,4.892789260714372,4.892789260714372,0.7755451529656345,0.6301432759218613,1,1.3993341193944377,0,0.1398561548785166,0,310.49503756793126,1,0.7470669599244701,1,15.210881651046396,1,0.9649621212121212,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155146,4.465139959549509,1.4633464844662087,8.885696373339394,8.885696373339394,0.78184563683633,0.6309178546620415,1,2.123958319008859,1,0.11159673376574437,0,748.0379906846042,1,0.8534832473440355,1,17.296293239195148,1,0.9625,1
