fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.302366304315946,4.687428081492829,1.433151154474292,9.90388184573618,9.90388184573618,0.68942389323108,0.6816587663688551,1,2.1374020420862343,1,0.3820550636916219,1,886.6662487633049,1,0.9965909090909091,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.302366304315946,4.008445926610623,1.1920739609994475,9.843921051289035,9.843921051289035,0.5769455963687352,0.7017812109310231,1,2.1682910587194404,1,0.37655564595339014,1,767.1600682713221,1,0.9964488636363635,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.034824342843683,4.926950383631272,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32988360796928234,0.6228698582435653,1,2.4392829570398034,1,1.2733220960116884,1,393.23765650603025,1,0.9961647727272727,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.544915367463036,1.544915367463036,0.876176017356294,7.088046166153979,2.3626820553846595,0.2755142436462807,0.6172255159521673,1,1.562344817198692,1,1.219808863266767,1,215.24717762325508,1,0.9917613636363637,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.930485215261121,1.930485215261121,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.35957523848561723,0.6126653174287828,1,1.457359221938428,1,1.2821611022626052,1,216.66979458785931,1,0.9887784090909091,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.034824342843683,3.677778831455411,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.34433358575274525,0.5990656905116042,1,1.5034627774405183,1,0.3092057878642382,1,260.41427117458016,1,0.9842329545454545,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.302366304315946,4.700186616224821,1.3973382018991465,9.949826710759112,9.949826710759112,0.6690919405441346,0.6560972030809638,1,2.155399038221682,1,0.18015167571430865,1,884.1630376718972,1,0.98125,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.3397970167620419,1.3397970167620419,0.5843854734643307,4.570402210259985,4.570402210259985,0.2471488170554155,0.6136044533872276,1,1.5319544502798756,1,0.9455965975510613,1,98.16390880176488,1,0.9801136363636365,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,-0.0037816758269442197,0.0037816758269442197,0.4316169365496553,2.0156423015938905,3.1947174628936,-0.0007370973650621148,0.5797779671537433,1,1.9401849347988316,1,0.22156044025653351,1,154.2750200726633,1,0.9795454545454546,1
30,1.0986122886681098,1.0986122886681098,5.036296543097928,35.53154628,33.89229959,3.980881148967695,-0.0156274398299077,3.06140383881704,3.06140383881704,1.265121051002469,4.584234670452872,4.584234670452872,0.7690266863683961,0.6137615837064164,1,1.3701414341278442,1,0.24187271234255645,1,269.22587107589135,1,0.9782670454545455,1
