fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,fused_rank,is_anomaly_fused
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.0376193955333073,4.894955478240147,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.3303367390068386,0.6947405422399221,1,2.2648728639100595,1,25609.85391539537,1,0.5284030790093588,1,0.9985795454545454,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.3025925193207013,4.715145604529209,1.433151154474292,9.90388184573618,9.90388184573618,0.6894711193758847,0.7417241790007064,1,1.8235042069882212,1,23728.101765766398,1,0.00041355197968639956,1,0.9970170454545454,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.3025925193207013,4.046564561611313,1.1920739609994475,9.843921051289035,9.843921051289035,0.5769851176509914,0.7124309490708999,1,1.8386092637956803,1,17175.36235704088,1,0.005528197302387516,1,0.9965909090909091,1
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.3025925193207013,4.9804637753591,1.625279018247219,6.270248868157708,9.93810932621924,0.7792085165655398,0.7341320350175611,1,1.4738337420458463,1,26322.01585517393,1,0.49492771586503026,1,0.9963068181818182,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.3025925193207013,4.701007369116455,1.3973382018991465,9.949826710759112,9.949826710759112,0.669137773932246,0.7443442578374301,1,1.8399742799135896,1,24037.84974697574,1,4.309856027440162e-05,0,0.9933238636363635,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.3025925193207013,4.451157700077411,1.4633464844662087,8.885696373339394,8.885696373339394,0.7846667161223619,0.732204459284145,1,1.5826697417651414,1,16870.57118682306,1,-0.00034223710578529243,0,0.9869318181818181,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.3025925193207013,4.236412236067586,1.393165100563557,8.581200581924957,8.581200581924957,0.7735422955092066,0.7198627583339535,1,1.503402653670295,1,13367.316118393595,1,-0.00025681826556556153,0,0.9863636363636362,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,1.9459242767629048,1.9459242767629048,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.3624509425716219,0.6450981187083984,1,1.426859853855789,1,4369.505975484432,1,4.890787983402589e-05,0,0.9849431818181817,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.3025925193207013,3.376024797255179,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6409713779564942,0.6768777570249871,1,1.3713295025164296,0,2066.9872581430204,0,0.09878766262827865,1,0.9846590909090909,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.53913024438202,1.53913024438202,0.876176017356294,7.088046166153979,2.3626820553846595,0.27448254712514103,0.5669163115362202,0,1.4795806141777208,1,3374.07933241264,1,0.3020266583471063,1,0.9840909090909091,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,35.4784065899999,33.89475491,5.909456489396374,0.4071381378692232,-2.0376193955333073,3.674144348891806,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.3448065654074122,0.6522006069747215,1,1.4700184930216023,1,15958.813742645236,1,-0.00024385373308732916,0,0.9839488636363636,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.3025925193207013,4.886957477235058,1.663933770214046,6.273028226734327,6.273028226734327,0.7973873370730259,0.7211642798552083,1,1.2789097254140889,0,16548.922336516178,1,0.11821480542720408,1,0.9829545454545454,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.2676860303901591,1.2676860303901591,0.5843854734643307,4.570402210259985,4.570402210259985,0.23384669385649862,0.5672412937851481,0,2.088625266649719,1,1751.4742448250072,0,0.6074948554966972,1,0.9828125,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,35.52780458,33.9012114,6.521400854570621,-1.9043027771337224,-2.0376193955333073,2.3169804845935014,0.1423343424885272,1.3391373849195853,1.3391373849195853,-0.31245118050138126,0.6263059237993114,1,1.6207263653250277,1,833.1946328236401,0,0.03104431382609718,1,0.9794034090909091,1
1729,0.6931471805599453,0.6931471805599453,4.859789148277298,35.5165647299999,33.89609087,5.446970821768159,-0.0156274398299077,2.2366774764460637,2.2366774764460637,0.8922003269883033,7.011193703985658,7.011193703985658,0.4106277690174974,0.6347916652512393,1,1.3862906863148843,0,5580.537698129863,1,-0.0003824388392261735,0,0.9781249999999999,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,3.3025925193207013,3.9246969416383646,1.5461992827517541,3.873657180281966,3.873657180281966,0.819077601597475,0.6812270146995475,1,1.2863914137915569,0,3759.447363002075,1,8.53677786769591e-05,1,0.9772727272727273,1
1367,1.0986122886681098,1.6094379124341005,4.535980866635092,35.5342097799999,33.8975098499999,4.082153587157697,-0.0156274398299077,2.2606352955678584,2.2606352955678584,1.1111734945263008,2.818363374934366,4.128827716040058,0.5537849684734384,0.5864280288909546,0,1.3974421768392653,0,1187.252164430859,0,0.0003154754411689442,1,0.9751420454545454,1
499,0.6931471805599453,1.0986122886681098,4.095027662189515,35.4817636699999,33.89872435,5.368162831559142,-0.0156274398299077,1.325596772686624,1.325596772686624,0.7628359628204767,3.7274548122468896,5.907876100543938,0.24693676668925008,0.5808912964814053,0,1.3545639561055531,0,2801.8809430412916,1,-4.4996699315014155e-05,0,0.9732954545454546,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.3025925193207013,3.343023063858977,1.1328145166338148,6.442943495848729,6.442943495848729,0.8377298970359982,0.6933584592578892,1,1.2428958789636944,0,6705.580673234861,1,0.000236836245401717,1,0.9731534090909091,1
